Categoría: Hinduismo

Día,Geo: Reino Unido
2019-12-30,68
2019-12-31,65
2020-01-01,77
2020-01-02,65
2020-01-03,69
2020-01-04,67
2020-01-05,65
2020-01-06,61
2020-01-07,57
2020-01-08,57
2020-01-09,59
2020-01-10,57
2020-01-11,62
2020-01-12,67
2020-01-13,68
2020-01-14,58
2020-01-15,60
2020-01-16,54
2020-01-17,53
2020-01-18,60
2020-01-19,60
2020-01-20,57
2020-01-21,54
2020-01-22,54
2020-01-23,54
2020-01-24,51
2020-01-25,58
2020-01-26,59
2020-01-27,48
2020-01-28,50
2020-01-29,52
2020-01-30,51
2020-01-31,50
2020-02-01,56
2020-02-02,63
2020-02-03,54
2020-02-04,51
2020-02-05,51
2020-02-06,53
2020-02-07,53
2020-02-08,61
2020-02-09,62
2020-02-10,55
2020-02-11,57
2020-02-12,51
2020-02-13,66
2020-02-14,64
2020-02-15,63
2020-02-16,63
2020-02-17,55
2020-02-18,52
2020-02-19,54
2020-02-20,61
2020-02-21,82
2020-02-22,62
2020-02-23,58
2020-02-24,52
2020-02-25,50
2020-02-26,50
2020-02-27,47
2020-02-28,50
2020-02-29,59
2020-03-01,59
2020-03-02,57
2020-03-03,54
2020-03-04,53
2020-03-05,52
2020-03-06,58
2020-03-07,64
2020-03-08,71
2020-03-09,85
2020-03-10,100
2020-03-11,58
2020-03-12,47
2020-03-13,46
2020-03-14,57
2020-03-15,59
2020-03-16,44
2020-03-17,43
2020-03-18,43
2020-03-19,40
2020-03-20,45
2020-03-21,51
2020-03-22,52
2020-03-23,38
2020-03-24,40
2020-03-25,49
2020-03-26,50
2020-03-27,47
2020-03-28,52
2020-03-29,50
2020-03-30,46
2020-03-31,51
2020-04-01,53
2020-04-02,60
2020-04-03,49
2020-04-04,52
2020-04-05,51
2020-04-06,49
2020-04-07,49
