Categoría: Hinduismo

Día,Geo: España
2019-12-30,96
2019-12-31,79
2020-01-01,91
2020-01-02,88
2020-01-03,88
2020-01-04,84
2020-01-05,88
2020-01-06,100
2020-01-07,79
2020-01-08,72
2020-01-09,68
2020-01-10,71
2020-01-11,77
2020-01-12,81
2020-01-13,73
2020-01-14,64
2020-01-15,60
2020-01-16,70
2020-01-17,69
2020-01-18,76
2020-01-19,73
2020-01-20,66
2020-01-21,70
2020-01-22,64
2020-01-23,63
2020-01-24,71
2020-01-25,72
2020-01-26,70
2020-01-27,65
2020-01-28,62
2020-01-29,70
2020-01-30,67
2020-01-31,66
2020-02-01,71
2020-02-02,68
2020-02-03,69
2020-02-04,63
2020-02-05,67
2020-02-06,68
2020-02-07,62
2020-02-08,83
2020-02-09,74
2020-02-10,68
2020-02-11,74
2020-02-12,78
2020-02-13,78
2020-02-14,77
2020-02-15,68
2020-02-16,75
2020-02-17,70
2020-02-18,71
2020-02-19,64
2020-02-20,61
2020-02-21,77
2020-02-22,77
2020-02-23,65
2020-02-24,66
2020-02-25,59
2020-02-26,65
2020-02-27,62
2020-02-28,60
2020-02-29,68
2020-03-01,75
2020-03-02,64
2020-03-03,67
2020-03-04,67
2020-03-05,62
2020-03-06,73
2020-03-07,71
2020-03-08,74
2020-03-09,69
2020-03-10,69
2020-03-11,56
2020-03-12,51
2020-03-13,46
2020-03-14,47
2020-03-15,61
2020-03-16,60
2020-03-17,54
2020-03-18,63
2020-03-19,63
2020-03-20,61
2020-03-21,70
2020-03-22,67
2020-03-23,63
2020-03-24,70
2020-03-25,67
2020-03-26,64
2020-03-27,69
2020-03-28,67
2020-03-29,76
2020-03-30,63
2020-03-31,60
2020-04-01,68
2020-04-02,61
2020-04-03,61
2020-04-04,67
2020-04-05,68
2020-04-06,69
2020-04-07,69
