Categoría: Hinduismo

Día,Geo: Alemania
2019-12-30,62
2019-12-31,74
2020-01-01,76
2020-01-02,69
2020-01-03,66
2020-01-04,72
2020-01-05,88
2020-01-06,93
2020-01-07,100
2020-01-08,60
2020-01-09,70
2020-01-10,70
2020-01-11,68
2020-01-12,74
2020-01-13,83
2020-01-14,69
2020-01-15,62
2020-01-16,64
2020-01-17,66
2020-01-18,73
2020-01-19,73
2020-01-20,65
2020-01-21,67
2020-01-22,64
2020-01-23,65
2020-01-24,59
2020-01-25,70
2020-01-26,74
2020-01-27,64
2020-01-28,62
2020-01-29,62
2020-01-30,66
2020-01-31,66
2020-02-01,71
2020-02-02,83
2020-02-03,64
2020-02-04,59
2020-02-05,62
2020-02-06,64
2020-02-07,64
2020-02-08,70
2020-02-09,72
2020-02-10,60
2020-02-11,64
2020-02-12,61
2020-02-13,62
2020-02-14,68
2020-02-15,70
2020-02-16,74
2020-02-17,63
2020-02-18,64
2020-02-19,65
2020-02-20,66
2020-02-21,72
2020-02-22,75
2020-02-23,71
2020-02-24,56
2020-02-25,65
2020-02-26,60
2020-02-27,59
2020-02-28,61
2020-02-29,64
2020-03-01,75
2020-03-02,63
2020-03-03,60
2020-03-04,57
2020-03-05,62
2020-03-06,63
2020-03-07,72
2020-03-08,100
2020-03-09,88
2020-03-10,89
2020-03-11,60
2020-03-12,56
2020-03-13,58
2020-03-14,56
2020-03-15,66
2020-03-16,47
2020-03-17,51
2020-03-18,52
2020-03-19,56
2020-03-20,62
2020-03-21,65
2020-03-22,64
2020-03-23,60
2020-03-24,59
2020-03-25,66
2020-03-26,63
2020-03-27,63
2020-03-28,71
2020-03-29,72
2020-03-30,63
2020-03-31,60
2020-04-01,65
2020-04-02,62
2020-04-03,64
2020-04-04,69
2020-04-05,65
2020-04-06,64
2020-04-07,57
