Categoría: Hinduismo

Día,Geo: Bélgica
2019-12-30,68
2019-12-31,87
2020-01-01,78
2020-01-02,72
2020-01-03,84
2020-01-04,79
2020-01-05,76
2020-01-06,69
2020-01-07,71
2020-01-08,74
2020-01-09,62
2020-01-10,79
2020-01-11,78
2020-01-12,69
2020-01-13,64
2020-01-14,76
2020-01-15,70
2020-01-16,79
2020-01-17,59
2020-01-18,80
2020-01-19,62
2020-01-20,58
2020-01-21,66
2020-01-22,72
2020-01-23,63
2020-01-24,56
2020-01-25,71
2020-01-26,73
2020-01-27,75
2020-01-28,57
2020-01-29,62
2020-01-30,73
2020-01-31,65
2020-02-01,74
2020-02-02,72
2020-02-03,66
2020-02-04,68
2020-02-05,73
2020-02-06,71
2020-02-07,72
2020-02-08,54
2020-02-09,84
2020-02-10,69
2020-02-11,59
2020-02-12,71
2020-02-13,64
2020-02-14,77
2020-02-15,81
2020-02-16,100
2020-02-17,58
2020-02-18,65
2020-02-19,57
2020-02-20,64
2020-02-21,79
2020-02-22,77
2020-02-23,71
2020-02-24,69
2020-02-25,58
2020-02-26,81
2020-02-27,62
2020-02-28,52
2020-02-29,72
2020-03-01,72
2020-03-02,57
2020-03-03,78
2020-03-04,66
2020-03-05,67
2020-03-06,70
2020-03-07,63
2020-03-08,86
2020-03-09,97
2020-03-10,93
2020-03-11,73
2020-03-12,57
2020-03-13,53
2020-03-14,60
2020-03-15,50
2020-03-16,62
2020-03-17,62
2020-03-18,65
2020-03-19,85
2020-03-20,43
2020-03-21,56
2020-03-22,56
2020-03-23,72
2020-03-24,57
2020-03-25,80
2020-03-26,78
2020-03-27,70
2020-03-28,72
2020-03-29,68
2020-03-30,73
2020-03-31,70
2020-04-01,70
2020-04-02,83
2020-04-03,63
2020-04-04,75
2020-04-05,66
2020-04-06,68
2020-04-07,72
