Categoría: Hinduismo

Día,Geo: Portugal
2019-12-30,47
2019-12-31,49
2020-01-01,40
2020-01-02,60
2020-01-03,60
2020-01-04,53
2020-01-05,51
2020-01-06,56
2020-01-07,66
2020-01-08,71
2020-01-09,69
2020-01-10,46
2020-01-11,59
2020-01-12,62
2020-01-13,68
2020-01-14,64
2020-01-15,55
2020-01-16,74
2020-01-17,62
2020-01-18,70
2020-01-19,61
2020-01-20,57
2020-01-21,46
2020-01-22,54
2020-01-23,60
2020-01-24,47
2020-01-25,41
2020-01-26,30
2020-01-27,50
2020-01-28,56
2020-01-29,58
2020-01-30,59
2020-01-31,49
2020-02-01,76
2020-02-02,50
2020-02-03,44
2020-02-04,40
2020-02-05,61
2020-02-06,71
2020-02-07,63
2020-02-08,70
2020-02-09,58
2020-02-10,63
2020-02-11,51
2020-02-12,55
2020-02-13,75
2020-02-14,71
2020-02-15,62
2020-02-16,81
2020-02-17,50
2020-02-18,50
2020-02-19,56
2020-02-20,70
2020-02-21,73
2020-02-22,48
2020-02-23,53
2020-02-24,36
2020-02-25,51
2020-02-26,63
2020-02-27,53
2020-02-28,52
2020-02-29,62
2020-03-01,67
2020-03-02,67
2020-03-03,64
2020-03-04,46
2020-03-05,56
2020-03-06,62
2020-03-07,40
2020-03-08,64
2020-03-09,59
2020-03-10,75
2020-03-11,61
2020-03-12,42
2020-03-13,45
2020-03-14,43
2020-03-15,51
2020-03-16,53
2020-03-17,54
2020-03-18,50
2020-03-19,62
2020-03-20,59
2020-03-21,50
2020-03-22,61
2020-03-23,62
2020-03-24,67
2020-03-25,100
2020-03-26,84
2020-03-27,77
2020-03-28,50
2020-03-29,71
2020-03-30,55
2020-03-31,65
2020-04-01,52
2020-04-02,57
2020-04-03,52
2020-04-04,61
2020-04-05,71
2020-04-06,61
2020-04-07,53
