Categoría: Hinduismo

Día,Geo: Italia
2019-12-30,76
2019-12-31,68
2020-01-01,83
2020-01-02,90
2020-01-03,85
2020-01-04,79
2020-01-05,89
2020-01-06,85
2020-01-07,83
2020-01-08,77
2020-01-09,76
2020-01-10,73
2020-01-11,71
2020-01-12,87
2020-01-13,83
2020-01-14,82
2020-01-15,81
2020-01-16,72
2020-01-17,67
2020-01-18,87
2020-01-19,72
2020-01-20,79
2020-01-21,80
2020-01-22,76
2020-01-23,80
2020-01-24,77
2020-01-25,77
2020-01-26,70
2020-01-27,73
2020-01-28,67
2020-01-29,74
2020-01-30,76
2020-01-31,73
2020-02-01,76
2020-02-02,84
2020-02-03,77
2020-02-04,75
2020-02-05,75
2020-02-06,76
2020-02-07,79
2020-02-08,75
2020-02-09,78
2020-02-10,75
2020-02-11,81
2020-02-12,81
2020-02-13,86
2020-02-14,86
2020-02-15,84
2020-02-16,80
2020-02-17,76
2020-02-18,72
2020-02-19,66
2020-02-20,73
2020-02-21,76
2020-02-22,65
2020-02-23,61
2020-02-24,59
2020-02-25,62
2020-02-26,59
2020-02-27,61
2020-02-28,59
2020-02-29,66
2020-03-01,65
2020-03-02,67
2020-03-03,71
2020-03-04,63
2020-03-05,63
2020-03-06,63
2020-03-07,70
2020-03-08,64
2020-03-09,66
2020-03-10,62
2020-03-11,60
2020-03-12,57
2020-03-13,63
2020-03-14,74
2020-03-15,73
2020-03-16,63
2020-03-17,69
2020-03-18,68
2020-03-19,64
2020-03-20,82
2020-03-21,79
2020-03-22,84
2020-03-23,79
2020-03-24,73
2020-03-25,85
2020-03-26,91
2020-03-27,100
2020-03-28,82
2020-03-29,91
2020-03-30,84
2020-03-31,85
2020-04-01,82
2020-04-02,80
2020-04-03,75
2020-04-04,83
2020-04-05,82
2020-04-06,82
2020-04-07,75
