Categoría: Todas las categorías

Día,Fe: (Francia)
2019-12-30,71
2019-12-31,59
2020-01-01,67
2020-01-02,68
2020-01-03,61
2020-01-04,69
2020-01-05,61
2020-01-06,73
2020-01-07,59
2020-01-08,72
2020-01-09,51
2020-01-10,64
2020-01-11,57
2020-01-12,83
2020-01-13,70
2020-01-14,68
2020-01-15,81
2020-01-16,77
2020-01-17,81
2020-01-18,66
2020-01-19,71
2020-01-20,66
2020-01-21,68
2020-01-22,80
2020-01-23,74
2020-01-24,78
2020-01-25,68
2020-01-26,73
2020-01-27,77
2020-01-28,78
2020-01-29,85
2020-01-30,78
2020-01-31,68
2020-02-01,70
2020-02-02,67
2020-02-03,80
2020-02-04,73
2020-02-05,94
2020-02-06,91
2020-02-07,80
2020-02-08,78
2020-02-09,69
2020-02-10,82
2020-02-11,82
2020-02-12,91
2020-02-13,85
2020-02-14,83
2020-02-15,81
2020-02-16,82
2020-02-17,93
2020-02-18,94
2020-02-19,91
2020-02-20,96
2020-02-21,94
2020-02-22,80
2020-02-23,87
2020-02-24,100
2020-02-25,100
2020-02-26,78
2020-02-27,91
2020-02-28,90
2020-02-29,76
2020-03-01,91
2020-03-02,85
2020-03-03,94
2020-03-04,74
2020-03-05,80
2020-03-06,81
2020-03-07,61
2020-03-08,68
2020-03-09,83
2020-03-10,89
2020-03-11,82
2020-03-12,71
2020-03-13,80
2020-03-14,78
2020-03-15,71
2020-03-16,52
2020-03-17,64
2020-03-18,75
2020-03-19,66
2020-03-20,76
2020-03-21,69
2020-03-22,82
2020-03-23,75
2020-03-24,74
2020-03-25,83
2020-03-26,83
2020-03-27,80
2020-03-28,86
2020-03-29,82
2020-03-30,77
2020-03-31,77
2020-04-01,85
2020-04-02,75
2020-04-03,77
2020-04-04,81
2020-04-05,77
2020-04-06,76
2020-04-07,77
