Categoría: Todas las categorías

Día,Fe: (Italia)
2019-12-30,43
2019-12-31,53
2020-01-01,48
2020-01-02,55
2020-01-03,56
2020-01-04,53
2020-01-05,50
2020-01-06,53
2020-01-07,47
2020-01-08,79
2020-01-09,63
2020-01-10,57
2020-01-11,54
2020-01-12,55
2020-01-13,53
2020-01-14,55
2020-01-15,60
2020-01-16,63
2020-01-17,60
2020-01-18,59
2020-01-19,55
2020-01-20,58
2020-01-21,55
2020-01-22,57
2020-01-23,50
2020-01-24,100
2020-01-25,79
2020-01-26,71
2020-01-27,66
2020-01-28,60
2020-01-29,58
2020-01-30,58
2020-01-31,54
2020-02-01,62
2020-02-02,63
2020-02-03,73
2020-02-04,56
2020-02-05,47
2020-02-06,52
2020-02-07,52
2020-02-08,54
2020-02-09,50
2020-02-10,55
2020-02-11,58
2020-02-12,55
2020-02-13,47
2020-02-14,93
2020-02-15,92
2020-02-16,55
2020-02-17,54
2020-02-18,69
2020-02-19,51
2020-02-20,51
2020-02-21,57
2020-02-22,44
2020-02-23,49
2020-02-24,45
2020-02-25,39
2020-02-26,47
2020-02-27,51
2020-02-28,45
2020-02-29,59
2020-03-01,50
2020-03-02,51
2020-03-03,51
2020-03-04,46
2020-03-05,43
2020-03-06,51
2020-03-07,45
2020-03-08,34
2020-03-09,40
2020-03-10,40
2020-03-11,46
2020-03-12,50
2020-03-13,39
2020-03-14,47
2020-03-15,57
2020-03-16,48
2020-03-17,44
2020-03-18,57
2020-03-19,44
2020-03-20,58
2020-03-21,51
2020-03-22,58
2020-03-23,55
2020-03-24,58
2020-03-25,48
2020-03-26,54
2020-03-27,84
2020-03-28,71
2020-03-29,62
2020-03-30,59
2020-03-31,61
2020-04-01,70
2020-04-02,64
2020-04-03,59
2020-04-04,53
2020-04-05,68
2020-04-06,59
2020-04-07,62
