Categoría: Todas las categorías

Día,Fe: (Austria)
2019-12-30,0
2019-12-31,68
2020-01-01,65
2020-01-02,50
2020-01-03,62
2020-01-04,42
2020-01-05,79
2020-01-06,74
2020-01-07,70
2020-01-08,61
2020-01-09,43
2020-01-10,66
2020-01-11,65
2020-01-12,95
2020-01-13,59
2020-01-14,77
2020-01-15,67
2020-01-16,55
2020-01-17,58
2020-01-18,66
2020-01-19,75
2020-01-20,59
2020-01-21,44
2020-01-22,70
2020-01-23,61
2020-01-24,57
2020-01-25,72
2020-01-26,72
2020-01-27,53
2020-01-28,35
2020-01-29,35
2020-01-30,59
2020-01-31,44
2020-02-01,66
2020-02-02,49
2020-02-03,65
2020-02-04,89
2020-02-05,56
2020-02-06,44
2020-02-07,62
2020-02-08,39
2020-02-09,61
2020-02-10,0
2020-02-11,57
2020-02-12,62
2020-02-13,43
2020-02-14,45
2020-02-15,65
2020-02-16,38
2020-02-17,60
2020-02-18,38
2020-02-19,0
2020-02-20,43
2020-02-21,73
2020-02-22,0
2020-02-23,68
2020-02-24,65
2020-02-25,43
2020-02-26,64
2020-02-27,52
2020-02-28,42
2020-02-29,58
2020-03-01,51
2020-03-02,38
2020-03-03,54
2020-03-04,49
2020-03-05,54
2020-03-06,29
2020-03-07,47
2020-03-08,35
2020-03-09,39
2020-03-10,53
2020-03-11,50
2020-03-12,31
2020-03-13,57
2020-03-14,51
2020-03-15,50
2020-03-16,48
2020-03-17,52
2020-03-18,55
2020-03-19,80
2020-03-20,81
2020-03-21,52
2020-03-22,56
2020-03-23,56
2020-03-24,56
2020-03-25,69
2020-03-26,75
2020-03-27,100
2020-03-28,68
2020-03-29,47
2020-03-30,44
2020-03-31,83
2020-04-01,60
2020-04-02,60
2020-04-03,68
2020-04-04,59
2020-04-05,70
2020-04-06,52
2020-04-07,46
