Categoría: Todas las categorías

Día,Fe: (España)
2019-12-30,59
2019-12-31,63
2020-01-01,65
2020-01-02,64
2020-01-03,63
2020-01-04,67
2020-01-05,62
2020-01-06,63
2020-01-07,68
2020-01-08,77
2020-01-09,75
2020-01-10,65
2020-01-11,70
2020-01-12,69
2020-01-13,72
2020-01-14,83
2020-01-15,87
2020-01-16,79
2020-01-17,74
2020-01-18,64
2020-01-19,74
2020-01-20,64
2020-01-21,71
2020-01-22,63
2020-01-23,70
2020-01-24,62
2020-01-25,59
2020-01-26,64
2020-01-27,66
2020-01-28,76
2020-01-29,81
2020-01-30,71
2020-01-31,75
2020-02-01,62
2020-02-02,74
2020-02-03,70
2020-02-04,64
2020-02-05,59
2020-02-06,72
2020-02-07,74
2020-02-08,58
2020-02-09,66
2020-02-10,69
2020-02-11,69
2020-02-12,76
2020-02-13,78
2020-02-14,65
2020-02-15,62
2020-02-16,73
2020-02-17,71
2020-02-18,86
2020-02-19,77
2020-02-20,71
2020-02-21,76
2020-02-22,66
2020-02-23,80
2020-02-24,74
2020-02-25,80
2020-02-26,80
2020-02-27,75
2020-02-28,71
2020-02-29,55
2020-03-01,68
2020-03-02,64
2020-03-03,72
2020-03-04,76
2020-03-05,68
2020-03-06,69
2020-03-07,63
2020-03-08,66
2020-03-09,67
2020-03-10,65
2020-03-11,77
2020-03-12,68
2020-03-13,59
2020-03-14,59
2020-03-15,69
2020-03-16,71
2020-03-17,92
2020-03-18,98
2020-03-19,90
2020-03-20,99
2020-03-21,84
2020-03-22,94
2020-03-23,89
2020-03-24,89
2020-03-25,94
2020-03-26,96
2020-03-27,94
2020-03-28,83
2020-03-29,98
2020-03-30,88
2020-03-31,88
2020-04-01,91
2020-04-02,91
2020-04-03,81
2020-04-04,100
2020-04-05,86
2020-04-06,83
2020-04-07,78
