Categoría: Todas las categorías

Día,Fe: (Portugal)
2019-12-30,31
2019-12-31,84
2020-01-01,46
2020-01-02,42
2020-01-03,40
2020-01-04,68
2020-01-05,52
2020-01-06,51
2020-01-07,61
2020-01-08,40
2020-01-09,54
2020-01-10,63
2020-01-11,56
2020-01-12,63
2020-01-13,45
2020-01-14,34
2020-01-15,53
2020-01-16,69
2020-01-17,43
2020-01-18,59
2020-01-19,65
2020-01-20,26
2020-01-21,31
2020-01-22,54
2020-01-23,48
2020-01-24,32
2020-01-25,48
2020-01-26,42
2020-01-27,48
2020-01-28,50
2020-01-29,47
2020-01-30,42
2020-01-31,56
2020-02-01,70
2020-02-02,54
2020-02-03,70
2020-02-04,60
2020-02-05,51
2020-02-06,36
2020-02-07,41
2020-02-08,39
2020-02-09,66
2020-02-10,48
2020-02-11,69
2020-02-12,51
2020-02-13,32
2020-02-14,38
2020-02-15,42
2020-02-16,71
2020-02-17,48
2020-02-18,45
2020-02-19,54
2020-02-20,54
2020-02-21,35
2020-02-22,45
2020-02-23,61
2020-02-24,53
2020-02-25,44
2020-02-26,49
2020-02-27,62
2020-02-28,66
2020-02-29,54
2020-03-01,72
2020-03-02,60
2020-03-03,52
2020-03-04,50
2020-03-05,69
2020-03-06,46
2020-03-07,43
2020-03-08,55
2020-03-09,53
2020-03-10,46
2020-03-11,66
2020-03-12,60
2020-03-13,73
2020-03-14,67
2020-03-15,61
2020-03-16,60
2020-03-17,65
2020-03-18,81
2020-03-19,84
2020-03-20,82
2020-03-21,90
2020-03-22,80
2020-03-23,53
2020-03-24,88
2020-03-25,74
2020-03-26,68
2020-03-27,79
2020-03-28,82
2020-03-29,98
2020-03-30,67
2020-03-31,72
2020-04-01,50
2020-04-02,42
2020-04-03,51
2020-04-04,100
2020-04-05,50
2020-04-06,65
2020-04-07,75
