Categoría: Todas las categorías

Día,Fe: (Irlanda)
2019-12-30,0
2019-12-31,0
2020-01-01,0
2020-01-02,54
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,71
2020-01-08,64
2020-01-09,61
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,60
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,64
2020-01-20,0
2020-01-21,84
2020-01-22,68
2020-01-23,100
2020-01-24,97
2020-01-25,0
2020-01-26,0
2020-01-27,68
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,63
2020-02-03,57
2020-02-04,51
2020-02-05,77
2020-02-06,0
2020-02-07,0
2020-02-08,68
2020-02-09,0
2020-02-10,0
2020-02-11,57
2020-02-12,66
2020-02-13,55
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,68
2020-02-22,57
2020-02-23,0
2020-02-24,0
2020-02-25,58
2020-02-26,0
2020-02-27,51
2020-02-28,66
2020-02-29,59
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,58
2020-03-06,0
2020-03-07,66
2020-03-08,0
2020-03-09,55
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,76
2020-03-19,69
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,50
2020-03-24,52
2020-03-25,50
2020-03-26,68
2020-03-27,53
2020-03-28,0
2020-03-29,0
2020-03-30,61
2020-03-31,56
2020-04-01,52
2020-04-02,46
2020-04-03,84
2020-04-04,0
2020-04-05,0
2020-04-06,49
2020-04-07,0
