Categoría: Todas las categorías

Día,Fe: (Bélgica)
2019-12-30,74
2019-12-31,0
2020-01-01,77
2020-01-02,59
2020-01-03,50
2020-01-04,0
2020-01-05,50
2020-01-06,48
2020-01-07,51
2020-01-08,0
2020-01-09,50
2020-01-10,60
2020-01-11,0
2020-01-12,0
2020-01-13,39
2020-01-14,44
2020-01-15,54
2020-01-16,46
2020-01-17,57
2020-01-18,0
2020-01-19,87
2020-01-20,40
2020-01-21,53
2020-01-22,50
2020-01-23,42
2020-01-24,46
2020-01-25,0
2020-01-26,54
2020-01-27,0
2020-01-28,56
2020-01-29,47
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,41
2020-02-05,53
2020-02-06,50
2020-02-07,0
2020-02-08,49
2020-02-09,100
2020-02-10,86
2020-02-11,0
2020-02-12,42
2020-02-13,43
2020-02-14,74
2020-02-15,0
2020-02-16,78
2020-02-17,42
2020-02-18,52
2020-02-19,62
2020-02-20,48
2020-02-21,55
2020-02-22,0
2020-02-23,0
2020-02-24,62
2020-02-25,0
2020-02-26,48
2020-02-27,59
2020-02-28,56
2020-02-29,0
2020-03-01,96
2020-03-02,0
2020-03-03,42
2020-03-04,0
2020-03-05,39
2020-03-06,49
2020-03-07,64
2020-03-08,49
2020-03-09,51
2020-03-10,63
2020-03-11,77
2020-03-12,46
2020-03-13,0
2020-03-14,86
2020-03-15,57
2020-03-16,60
2020-03-17,41
2020-03-18,67
2020-03-19,54
2020-03-20,45
2020-03-21,71
2020-03-22,81
2020-03-23,83
2020-03-24,56
2020-03-25,81
2020-03-26,48
2020-03-27,62
2020-03-28,57
2020-03-29,61
2020-03-30,57
2020-03-31,61
2020-04-01,73
2020-04-02,65
2020-04-03,75
2020-04-04,72
2020-04-05,76
2020-04-06,61
2020-04-07,39
