Categoría: Todas las categorías

Día,Fe: (Alemania)
2019-12-30,65
2019-12-31,77
2020-01-01,97
2020-01-02,80
2020-01-03,71
2020-01-04,83
2020-01-05,80
2020-01-06,70
2020-01-07,68
2020-01-08,73
2020-01-09,67
2020-01-10,71
2020-01-11,66
2020-01-12,99
2020-01-13,84
2020-01-14,91
2020-01-15,100
2020-01-16,90
2020-01-17,77
2020-01-18,79
2020-01-19,90
2020-01-20,72
2020-01-21,78
2020-01-22,73
2020-01-23,74
2020-01-24,67
2020-01-25,70
2020-01-26,82
2020-01-27,67
2020-01-28,70
2020-01-29,72
2020-01-30,65
2020-01-31,65
2020-02-01,80
2020-02-02,88
2020-02-03,68
2020-02-04,67
2020-02-05,65
2020-02-06,68
2020-02-07,64
2020-02-08,71
2020-02-09,67
2020-02-10,65
2020-02-11,63
2020-02-12,72
2020-02-13,74
2020-02-14,69
2020-02-15,64
2020-02-16,84
2020-02-17,70
2020-02-18,64
2020-02-19,77
2020-02-20,70
2020-02-21,69
2020-02-22,68
2020-02-23,78
2020-02-24,68
2020-02-25,62
2020-02-26,69
2020-02-27,62
2020-02-28,59
2020-02-29,70
2020-03-01,86
2020-03-02,66
2020-03-03,66
2020-03-04,66
2020-03-05,62
2020-03-06,53
2020-03-07,64
2020-03-08,75
2020-03-09,55
2020-03-10,60
2020-03-11,54
2020-03-12,59
2020-03-13,48
2020-03-14,63
2020-03-15,54
2020-03-16,50
2020-03-17,58
2020-03-18,56
2020-03-19,67
2020-03-20,63
2020-03-21,78
2020-03-22,78
2020-03-23,72
2020-03-24,71
2020-03-25,80
2020-03-26,65
2020-03-27,80
2020-03-28,75
2020-03-29,78
2020-03-30,72
2020-03-31,68
2020-04-01,81
2020-04-02,77
2020-04-03,74
2020-04-04,66
2020-04-05,79
2020-04-06,56
2020-04-07,73
