Categoría: Todas las categorías

Día,Fe: (Suiza)
2019-12-30,65
2019-12-31,63
2020-01-01,86
2020-01-02,67
2020-01-03,57
2020-01-04,69
2020-01-05,67
2020-01-06,51
2020-01-07,54
2020-01-08,54
2020-01-09,74
2020-01-10,52
2020-01-11,46
2020-01-12,58
2020-01-13,44
2020-01-14,66
2020-01-15,54
2020-01-16,49
2020-01-17,79
2020-01-18,57
2020-01-19,61
2020-01-20,79
2020-01-21,54
2020-01-22,63
2020-01-23,68
2020-01-24,78
2020-01-25,96
2020-01-26,83
2020-01-27,60
2020-01-28,73
2020-01-29,72
2020-01-30,57
2020-01-31,58
2020-02-01,64
2020-02-02,67
2020-02-03,61
2020-02-04,74
2020-02-05,45
2020-02-06,37
2020-02-07,45
2020-02-08,72
2020-02-09,43
2020-02-10,70
2020-02-11,50
2020-02-12,54
2020-02-13,71
2020-02-14,75
2020-02-15,46
2020-02-16,61
2020-02-17,67
2020-02-18,54
2020-02-19,59
2020-02-20,59
2020-02-21,78
2020-02-22,45
2020-02-23,77
2020-02-24,64
2020-02-25,55
2020-02-26,51
2020-02-27,54
2020-02-28,54
2020-02-29,72
2020-03-01,70
2020-03-02,42
2020-03-03,62
2020-03-04,62
2020-03-05,51
2020-03-06,65
2020-03-07,55
2020-03-08,65
2020-03-09,37
2020-03-10,55
2020-03-11,53
2020-03-12,65
2020-03-13,42
2020-03-14,46
2020-03-15,60
2020-03-16,42
2020-03-17,68
2020-03-18,76
2020-03-19,62
2020-03-20,51
2020-03-21,68
2020-03-22,83
2020-03-23,59
2020-03-24,59
2020-03-25,75
2020-03-26,74
2020-03-27,89
2020-03-28,71
2020-03-29,100
2020-03-30,74
2020-03-31,65
2020-04-01,58
2020-04-02,40
2020-04-03,59
2020-04-04,77
2020-04-05,81
2020-04-06,63
2020-04-07,58
