Categoría: Cristianismo

Día,Geo: Francia
2019-12-30,57
2019-12-31,56
2020-01-01,72
2020-01-02,58
2020-01-03,61
2020-01-04,79
2020-01-05,100
2020-01-06,67
2020-01-07,51
2020-01-08,50
2020-01-09,47
2020-01-10,49
2020-01-11,54
2020-01-12,62
2020-01-13,63
2020-01-14,52
2020-01-15,49
2020-01-16,48
2020-01-17,48
2020-01-18,55
2020-01-19,58
2020-01-20,50
2020-01-21,51
2020-01-22,50
2020-01-23,41
2020-01-24,49
2020-01-25,55
2020-01-26,62
2020-01-27,50
2020-01-28,46
2020-01-29,46
2020-01-30,47
2020-01-31,48
2020-02-01,53
2020-02-02,53
2020-02-03,53
2020-02-04,57
2020-02-05,47
2020-02-06,44
2020-02-07,42
2020-02-08,50
2020-02-09,54
2020-02-10,46
2020-02-11,44
2020-02-12,46
2020-02-13,48
2020-02-14,45
2020-02-15,46
2020-02-16,53
2020-02-17,45
2020-02-18,44
2020-02-19,42
2020-02-20,42
2020-02-21,45
2020-02-22,46
2020-02-23,56
2020-02-24,44
2020-02-25,46
2020-02-26,49
2020-02-27,47
2020-02-28,47
2020-02-29,49
2020-03-01,57
2020-03-02,46
2020-03-03,46
2020-03-04,47
2020-03-05,46
2020-03-06,54
2020-03-07,51
2020-03-08,57
2020-03-09,50
2020-03-10,46
2020-03-11,46
2020-03-12,43
2020-03-13,44
2020-03-14,49
2020-03-15,52
2020-03-16,43
2020-03-17,49
2020-03-18,55
2020-03-19,57
2020-03-20,58
2020-03-21,61
2020-03-22,83
2020-03-23,60
2020-03-24,60
2020-03-25,83
2020-03-26,77
2020-03-27,77
2020-03-28,65
2020-03-29,78
2020-03-30,64
2020-03-31,61
2020-04-01,60
2020-04-02,58
2020-04-03,58
2020-04-04,61
2020-04-05,87
2020-04-06,66
2020-04-07,63
