Categoría: Cristianismo

Semana,Geo: Reino Unido
2018-12-30,60
2019-01-06,63
2019-01-13,64
2019-01-20,67
2019-01-27,64
2019-02-03,63
2019-02-10,67
2019-02-17,57
2019-02-24,63
2019-03-03,71
2019-03-10,66
2019-03-17,65
2019-03-24,63
2019-03-31,61
2019-04-07,63
2019-04-14,79
2019-04-21,65
2019-04-28,65
2019-05-05,62
2019-05-12,67
2019-05-19,60
2019-05-26,57
2019-06-02,66
2019-06-09,66
2019-06-16,60
2019-06-23,59
2019-06-30,58
2019-07-07,55
2019-07-14,58
2019-07-21,57
2019-07-28,57
2019-08-04,57
2019-08-11,59
2019-08-18,56
2019-08-25,55
2019-09-01,59
2019-09-08,63
2019-09-15,60
2019-09-22,61
2019-09-29,64
2019-10-06,64
2019-10-13,64
2019-10-20,63
2019-10-27,61
2019-11-03,63
2019-11-10,61
2019-11-17,65
2019-11-24,65
2019-12-01,61
2019-12-08,60
2019-12-15,61
2019-12-22,66
2019-12-29,68
2020-01-05,70
2020-01-12,70
2020-01-19,66
2020-01-26,63
2020-02-02,63
2020-02-09,65
2020-02-16,67
2020-02-23,71
2020-03-01,65
2020-03-08,61
2020-03-15,74
2020-03-22,81
2020-03-29,76
2020-04-05,100
