Categoría: Cristianismo

Día,Geo: Francia
2018-12-30,76
2018-12-31,63
2019-01-01,73
2019-01-02,60
2019-01-03,64
2019-01-04,64
2019-01-05,73
2019-01-06,100
2019-01-07,65
2019-01-08,63
2019-01-09,58
2019-01-10,58
2019-01-11,67
2019-01-12,68
2019-01-13,80
2019-01-14,58
2019-01-15,56
2019-01-16,56
2019-01-17,55
2019-01-18,58
2019-01-19,63
2019-01-20,67
2019-01-21,57
2019-01-22,60
2019-01-23,48
2019-01-24,49
2019-01-25,57
2019-01-26,84
2019-01-27,64
2019-01-28,53
2019-01-29,55
2019-01-30,56
2019-01-31,59
2019-02-01,57
2019-02-02,61
2019-02-03,63
2019-02-04,56
2019-02-05,59
2019-02-06,58
2019-02-07,55
2019-02-08,51
2019-02-09,59
2019-02-10,56
2019-02-11,56
2019-02-12,50
2019-02-13,54
2019-02-14,58
2019-02-15,62
2019-02-16,64
2019-02-17,63
2019-02-18,55
2019-02-19,56
2019-02-20,53
2019-02-21,57
2019-02-22,54
2019-02-23,58
2019-02-24,67
2019-02-25,54
2019-02-26,56
2019-02-27,51
2019-02-28,56
2019-03-01,65
2019-03-02,61
2019-03-03,65
2019-03-04,63
2019-03-05,65
2019-03-06,68
2019-03-07,72
2019-03-08,66
2019-03-09,68
2019-03-10,69
2019-03-11,57
2019-03-12,56
2019-03-13,59
2019-03-14,58
2019-03-15,59
2019-03-16,63
2019-03-17,67
2019-03-18,62
2019-03-19,65
2019-03-20,61
2019-03-21,57
2019-03-22,62
2019-03-23,63
2019-03-24,63
2019-03-25,56
2019-03-26,59
2019-03-27,56
2019-03-28,62
2019-03-29,63
2019-03-30,60
2019-03-31,69
2019-04-01,56
2019-04-02,56
2019-04-03,60
2019-04-04,61
2019-04-05,59
2019-04-06,69
2019-04-07,74
2019-04-08,59
2019-04-09,55
2019-04-10,59
