Categoría: Cristianismo

Día,Geo: Portugal
2019-12-30,64
2019-12-31,59
2020-01-01,69
2020-01-02,71
2020-01-03,66
2020-01-04,65
2020-01-05,70
2020-01-06,69
2020-01-07,61
2020-01-08,59
2020-01-09,63
2020-01-10,64
2020-01-11,63
2020-01-12,65
2020-01-13,75
2020-01-14,67
2020-01-15,66
2020-01-16,69
2020-01-17,62
2020-01-18,67
2020-01-19,68
2020-01-20,64
2020-01-21,63
2020-01-22,64
2020-01-23,64
2020-01-24,64
2020-01-25,67
2020-01-26,63
2020-01-27,67
2020-01-28,66
2020-01-29,66
2020-01-30,71
2020-01-31,66
2020-02-01,74
2020-02-02,77
2020-02-03,61
2020-02-04,63
2020-02-05,61
2020-02-06,61
2020-02-07,67
2020-02-08,66
2020-02-09,67
2020-02-10,62
2020-02-11,66
2020-02-12,68
2020-02-13,65
2020-02-14,63
2020-02-15,68
2020-02-16,69
2020-02-17,68
2020-02-18,67
2020-02-19,64
2020-02-20,62
2020-02-21,72
2020-02-22,66
2020-02-23,70
2020-02-24,61
2020-02-25,58
2020-02-26,70
2020-02-27,65
2020-02-28,73
2020-02-29,76
2020-03-01,70
2020-03-02,70
2020-03-03,67
2020-03-04,67
2020-03-05,70
2020-03-06,64
2020-03-07,65
2020-03-08,69
2020-03-09,63
2020-03-10,58
2020-03-11,60
2020-03-12,57
2020-03-13,70
2020-03-14,62
2020-03-15,75
2020-03-16,61
2020-03-17,56
2020-03-18,67
2020-03-19,74
2020-03-20,75
2020-03-21,76
2020-03-22,80
2020-03-23,76
2020-03-24,65
2020-03-25,82
2020-03-26,72
2020-03-27,84
2020-03-28,75
2020-03-29,81
2020-03-30,71
2020-03-31,67
2020-04-01,68
2020-04-02,63
2020-04-03,66
2020-04-04,80
2020-04-05,100
2020-04-06,80
2020-04-07,72
