Categoría: Cristianismo

Semana,Geo: Austria
2018-12-30,60
2019-01-06,61
2019-01-13,66
2019-01-20,60
2019-01-27,56
2019-02-03,58
2019-02-10,63
2019-02-17,60
2019-02-24,61
2019-03-03,65
2019-03-10,58
2019-03-17,59
2019-03-24,59
2019-03-31,61
2019-04-07,61
2019-04-14,93
2019-04-21,65
2019-04-28,71
2019-05-05,63
2019-05-12,62
2019-05-19,59
2019-05-26,60
2019-06-02,60
2019-06-09,62
2019-06-16,61
2019-06-23,56
2019-06-30,53
2019-07-07,55
2019-07-14,52
2019-07-21,56
2019-07-28,54
2019-08-04,51
2019-08-11,56
2019-08-18,56
2019-08-25,53
2019-09-01,58
2019-09-08,54
2019-09-15,53
2019-09-22,55
2019-09-29,62
2019-10-06,58
2019-10-13,57
2019-10-20,57
2019-10-27,61
2019-11-03,55
2019-11-10,61
2019-11-17,62
2019-11-24,57
2019-12-01,63
2019-12-08,63
2019-12-15,64
2019-12-22,100
2019-12-29,63
2020-01-05,65
2020-01-12,61
2020-01-19,64
2020-01-26,57
2020-02-02,58
2020-02-09,55
2020-02-16,60
2020-02-23,65
2020-03-01,60
2020-03-08,63
2020-03-15,67
2020-03-22,76
2020-03-29,72
2020-04-05,98
