Categoría: Cristianismo

Día,Geo: Países Bajos
2019-12-30,47
2019-12-31,50
2020-01-01,56
2020-01-02,46
2020-01-03,44
2020-01-04,55
2020-01-05,73
2020-01-06,48
2020-01-07,51
2020-01-08,48
2020-01-09,48
2020-01-10,44
2020-01-11,53
2020-01-12,69
2020-01-13,52
2020-01-14,46
2020-01-15,48
2020-01-16,45
2020-01-17,45
2020-01-18,52
2020-01-19,65
2020-01-20,50
2020-01-21,50
2020-01-22,53
2020-01-23,53
2020-01-24,47
2020-01-25,51
2020-01-26,63
2020-01-27,50
2020-01-28,48
2020-01-29,47
2020-01-30,52
2020-01-31,45
2020-02-01,54
2020-02-02,73
2020-02-03,48
2020-02-04,46
2020-02-05,46
2020-02-06,43
2020-02-07,45
2020-02-08,46
2020-02-09,68
2020-02-10,47
2020-02-11,44
2020-02-12,46
2020-02-13,45
2020-02-14,43
2020-02-15,55
2020-02-16,72
2020-02-17,44
2020-02-18,42
2020-02-19,43
2020-02-20,41
2020-02-21,48
2020-02-22,48
2020-02-23,66
2020-02-24,47
2020-02-25,45
2020-02-26,46
2020-02-27,41
2020-02-28,39
2020-02-29,45
2020-03-01,62
2020-03-02,49
2020-03-03,46
2020-03-04,45
2020-03-05,45
2020-03-06,47
2020-03-07,49
2020-03-08,66
2020-03-09,48
2020-03-10,49
2020-03-11,55
2020-03-12,50
2020-03-13,57
2020-03-14,57
2020-03-15,100
2020-03-16,44
2020-03-17,43
2020-03-18,55
2020-03-19,52
2020-03-20,52
2020-03-21,68
2020-03-22,93
2020-03-23,55
2020-03-24,55
2020-03-25,56
2020-03-26,51
2020-03-27,61
2020-03-28,54
2020-03-29,89
2020-03-30,54
2020-03-31,49
2020-04-01,52
2020-04-02,56
2020-04-03,52
2020-04-04,52
2020-04-05,90
2020-04-06,52
2020-04-07,53
