Categoría: Cristianismo

Día,Geo: Reino Unido
2019-12-30,47
2019-12-31,53
2020-01-01,66
2020-01-02,58
2020-01-03,56
2020-01-04,63
2020-01-05,71
2020-01-06,59
2020-01-07,59
2020-01-08,59
2020-01-09,60
2020-01-10,49
2020-01-11,62
2020-01-12,71
2020-01-13,62
2020-01-14,59
2020-01-15,58
2020-01-16,59
2020-01-17,53
2020-01-18,62
2020-01-19,69
2020-01-20,54
2020-01-21,51
2020-01-22,54
2020-01-23,55
2020-01-24,53
2020-01-25,62
2020-01-26,69
2020-01-27,54
2020-01-28,55
2020-01-29,52
2020-01-30,56
2020-01-31,53
2020-02-01,55
2020-02-02,68
2020-02-03,56
2020-02-04,54
2020-02-05,52
2020-02-06,55
2020-02-07,50
2020-02-08,57
2020-02-09,71
2020-02-10,56
2020-02-11,55
2020-02-12,54
2020-02-13,54
2020-02-14,53
2020-02-15,55
2020-02-16,68
2020-02-17,54
2020-02-18,54
2020-02-19,53
2020-02-20,52
2020-02-21,54
2020-02-22,57
2020-02-23,68
2020-02-24,60
2020-02-25,74
2020-02-26,63
2020-02-27,59
2020-02-28,60
2020-02-29,56
2020-03-01,69
2020-03-02,57
2020-03-03,59
2020-03-04,56
2020-03-05,52
2020-03-06,55
2020-03-07,55
2020-03-08,67
2020-03-09,57
2020-03-10,53
2020-03-11,52
2020-03-12,53
2020-03-13,53
2020-03-14,62
2020-03-15,70
2020-03-16,56
2020-03-17,65
2020-03-18,74
2020-03-19,66
2020-03-20,69
2020-03-21,73
2020-03-22,87
2020-03-23,66
2020-03-24,68
2020-03-25,66
2020-03-26,66
2020-03-27,75
2020-03-28,72
2020-03-29,88
2020-03-30,61
2020-03-31,65
2020-04-01,65
2020-04-02,70
2020-04-03,67
2020-04-04,69
2020-04-05,100
2020-04-06,73
2020-04-07,67
