Categoría: Cristianismo

Día,Geo: Suiza
2019-12-30,59
2019-12-31,63
2020-01-01,75
2020-01-02,60
2020-01-03,60
2020-01-04,69
2020-01-05,81
2020-01-06,73
2020-01-07,59
2020-01-08,57
2020-01-09,59
2020-01-10,55
2020-01-11,62
2020-01-12,65
2020-01-13,61
2020-01-14,63
2020-01-15,56
2020-01-16,55
2020-01-17,60
2020-01-18,62
2020-01-19,63
2020-01-20,54
2020-01-21,58
2020-01-22,58
2020-01-23,53
2020-01-24,53
2020-01-25,59
2020-01-26,60
2020-01-27,61
2020-01-28,51
2020-01-29,55
2020-01-30,54
2020-01-31,55
2020-02-01,57
2020-02-02,69
2020-02-03,59
2020-02-04,56
2020-02-05,57
2020-02-06,52
2020-02-07,50
2020-02-08,57
2020-02-09,59
2020-02-10,57
2020-02-11,54
2020-02-12,57
2020-02-13,51
2020-02-14,56
2020-02-15,58
2020-02-16,60
2020-02-17,56
2020-02-18,54
2020-02-19,52
2020-02-20,55
2020-02-21,52
2020-02-22,57
2020-02-23,62
2020-02-24,50
2020-02-25,54
2020-02-26,57
2020-02-27,54
2020-02-28,57
2020-02-29,58
2020-03-01,65
2020-03-02,55
2020-03-03,54
2020-03-04,53
2020-03-05,53
2020-03-06,59
2020-03-07,58
2020-03-08,63
2020-03-09,56
2020-03-10,54
2020-03-11,53
2020-03-12,52
2020-03-13,52
2020-03-14,65
2020-03-15,70
2020-03-16,47
2020-03-17,54
2020-03-18,55
2020-03-19,57
2020-03-20,59
2020-03-21,69
2020-03-22,88
2020-03-23,64
2020-03-24,60
2020-03-25,66
2020-03-26,58
2020-03-27,72
2020-03-28,61
2020-03-29,87
2020-03-30,64
2020-03-31,55
2020-04-01,53
2020-04-02,55
2020-04-03,56
2020-04-04,64
2020-04-05,100
2020-04-06,65
2020-04-07,57
