Categoría: Cristianismo

Semana,Geo: Portugal
2018-12-30,58
2019-01-06,63
2019-01-13,66
2019-01-20,67
2019-01-27,68
2019-02-03,64
2019-02-10,64
2019-02-17,68
2019-02-24,67
2019-03-03,70
2019-03-10,68
2019-03-17,73
2019-03-24,72
2019-03-31,71
2019-04-07,71
2019-04-14,90
2019-04-21,78
2019-04-28,77
2019-05-05,77
2019-05-12,79
2019-05-19,79
2019-05-26,75
2019-06-02,84
2019-06-09,89
2019-06-16,78
2019-06-23,83
2019-06-30,76
2019-07-07,72
2019-07-14,75
2019-07-21,73
2019-07-28,69
2019-08-04,77
2019-08-11,78
2019-08-18,75
2019-08-25,70
2019-09-01,72
2019-09-08,75
2019-09-15,71
2019-09-22,69
2019-09-29,76
2019-10-06,73
2019-10-13,79
2019-10-20,68
2019-10-27,75
2019-11-03,68
2019-11-10,74
2019-11-17,66
2019-11-24,67
2019-12-01,71
2019-12-08,70
2019-12-15,73
2019-12-22,71
2019-12-29,76
2020-01-05,71
2020-01-12,74
2020-01-19,75
2020-01-26,74
2020-02-02,72
2020-02-09,76
2020-02-16,75
2020-02-23,76
2020-03-01,77
2020-03-08,70
2020-03-15,75
2020-03-22,84
2020-03-29,78
2020-04-05,100
