Categoría: Cristianismo

Día,Geo: Irlanda
2019-12-30,59
2019-12-31,55
2020-01-01,99
2020-01-02,65
2020-01-03,61
2020-01-04,67
2020-01-05,75
2020-01-06,66
2020-01-07,63
2020-01-08,57
2020-01-09,57
2020-01-10,59
2020-01-11,63
2020-01-12,68
2020-01-13,65
2020-01-14,66
2020-01-15,58
2020-01-16,52
2020-01-17,55
2020-01-18,57
2020-01-19,63
2020-01-20,53
2020-01-21,56
2020-01-22,57
2020-01-23,51
2020-01-24,55
2020-01-25,59
2020-01-26,62
2020-01-27,60
2020-01-28,53
2020-01-29,59
2020-01-30,61
2020-01-31,65
2020-02-01,68
2020-02-02,62
2020-02-03,59
2020-02-04,49
2020-02-05,54
2020-02-06,55
2020-02-07,49
2020-02-08,53
2020-02-09,58
2020-02-10,51
2020-02-11,56
2020-02-12,51
2020-02-13,55
2020-02-14,52
2020-02-15,56
2020-02-16,58
2020-02-17,54
2020-02-18,47
2020-02-19,53
2020-02-20,48
2020-02-21,51
2020-02-22,54
2020-02-23,56
2020-02-24,62
2020-02-25,69
2020-02-26,67
2020-02-27,66
2020-02-28,60
2020-02-29,54
2020-03-01,61
2020-03-02,51
2020-03-03,59
2020-03-04,54
2020-03-05,53
2020-03-06,55
2020-03-07,58
2020-03-08,62
2020-03-09,58
2020-03-10,53
2020-03-11,53
2020-03-12,58
2020-03-13,72
2020-03-14,71
2020-03-15,93
2020-03-16,56
2020-03-17,71
2020-03-18,81
2020-03-19,69
2020-03-20,63
2020-03-21,76
2020-03-22,78
2020-03-23,68
2020-03-24,67
2020-03-25,70
2020-03-26,66
2020-03-27,87
2020-03-28,72
2020-03-29,97
2020-03-30,67
2020-03-31,64
2020-04-01,65
2020-04-02,66
2020-04-03,67
2020-04-04,68
2020-04-05,100
2020-04-06,67
2020-04-07,63
