Categoría: Cristianismo

Día,Geo: Luxemburgo
2019-12-30,55
2019-12-31,31
2020-01-01,94
2020-01-02,61
2020-01-03,53
2020-01-04,46
2020-01-05,79
2020-01-06,95
2020-01-07,86
2020-01-08,79
2020-01-09,66
2020-01-10,97
2020-01-11,48
2020-01-12,89
2020-01-13,50
2020-01-14,70
2020-01-15,88
2020-01-16,63
2020-01-17,91
2020-01-18,72
2020-01-19,82
2020-01-20,91
2020-01-21,72
2020-01-22,64
2020-01-23,80
2020-01-24,69
2020-01-25,65
2020-01-26,78
2020-01-27,43
2020-01-28,61
2020-01-29,55
2020-01-30,75
2020-01-31,47
2020-02-01,61
2020-02-02,90
2020-02-03,65
2020-02-04,87
2020-02-05,68
2020-02-06,59
2020-02-07,76
2020-02-08,83
2020-02-09,73
2020-02-10,57
2020-02-11,63
2020-02-12,81
2020-02-13,100
2020-02-14,62
2020-02-15,66
2020-02-16,38
2020-02-17,61
2020-02-18,54
2020-02-19,57
2020-02-20,60
2020-02-21,71
2020-02-22,60
2020-02-23,87
2020-02-24,50
2020-02-25,47
2020-02-26,79
2020-02-27,42
2020-02-28,54
2020-02-29,55
2020-03-01,50
2020-03-02,49
2020-03-03,70
2020-03-04,81
2020-03-05,68
2020-03-06,91
2020-03-07,49
2020-03-08,77
2020-03-09,65
2020-03-10,71
2020-03-11,64
2020-03-12,65
2020-03-13,47
2020-03-14,69
2020-03-15,76
2020-03-16,64
2020-03-17,58
2020-03-18,56
2020-03-19,39
2020-03-20,49
2020-03-21,84
2020-03-22,92
2020-03-23,71
2020-03-24,69
2020-03-25,60
2020-03-26,49
2020-03-27,57
2020-03-28,53
2020-03-29,80
2020-03-30,67
2020-03-31,72
2020-04-01,58
2020-04-02,68
2020-04-03,44
2020-04-04,30
2020-04-05,93
2020-04-06,46
2020-04-07,47
