Categoría: Cristianismo

Día,Geo: Austria
2019-12-30,44
2019-12-31,48
2020-01-01,57
2020-01-02,47
2020-01-03,45
2020-01-04,51
2020-01-05,59
2020-01-06,57
2020-01-07,50
2020-01-08,45
2020-01-09,46
2020-01-10,42
2020-01-11,48
2020-01-12,46
2020-01-13,47
2020-01-14,51
2020-01-15,46
2020-01-16,44
2020-01-17,49
2020-01-18,49
2020-01-19,57
2020-01-20,46
2020-01-21,49
2020-01-22,46
2020-01-23,47
2020-01-24,41
2020-01-25,48
2020-01-26,50
2020-01-27,48
2020-01-28,46
2020-01-29,46
2020-01-30,41
2020-01-31,48
2020-02-01,44
2020-02-02,59
2020-02-03,45
2020-02-04,43
2020-02-05,43
2020-02-06,41
2020-02-07,48
2020-02-08,42
2020-02-09,48
2020-02-10,44
2020-02-11,43
2020-02-12,44
2020-02-13,42
2020-02-14,43
2020-02-15,45
2020-02-16,53
2020-02-17,47
2020-02-18,46
2020-02-19,43
2020-02-20,46
2020-02-21,50
2020-02-22,46
2020-02-23,55
2020-02-24,49
2020-02-25,48
2020-02-26,54
2020-02-27,43
2020-02-28,43
2020-02-29,48
2020-03-01,50
2020-03-02,46
2020-03-03,47
2020-03-04,43
2020-03-05,43
2020-03-06,44
2020-03-07,44
2020-03-08,48
2020-03-09,47
2020-03-10,43
2020-03-11,45
2020-03-12,45
2020-03-13,44
2020-03-14,55
2020-03-15,60
2020-03-16,43
2020-03-17,45
2020-03-18,45
2020-03-19,46
2020-03-20,44
2020-03-21,56
2020-03-22,68
2020-03-23,50
2020-03-24,53
2020-03-25,56
2020-03-26,48
2020-03-27,64
2020-03-28,49
2020-03-29,61
2020-03-30,53
2020-03-31,52
2020-04-01,45
2020-04-02,54
2020-04-03,47
2020-04-04,59
2020-04-05,100
2020-04-06,48
2020-04-07,47
