Categoría: Cristianismo

Día,Geo: España
2019-12-30,44
2019-12-31,39
2020-01-01,51
2020-01-02,43
2020-01-03,44
2020-01-04,53
2020-01-05,53
2020-01-06,42
2020-01-07,56
2020-01-08,48
2020-01-09,50
2020-01-10,46
2020-01-11,48
2020-01-12,51
2020-01-13,52
2020-01-14,55
2020-01-15,52
2020-01-16,47
2020-01-17,47
2020-01-18,49
2020-01-19,53
2020-01-20,53
2020-01-21,53
2020-01-22,54
2020-01-23,45
2020-01-24,46
2020-01-25,58
2020-01-26,58
2020-01-27,50
2020-01-28,48
2020-01-29,54
2020-01-30,47
2020-01-31,47
2020-02-01,45
2020-02-02,52
2020-02-03,54
2020-02-04,58
2020-02-05,53
2020-02-06,52
2020-02-07,46
2020-02-08,49
2020-02-09,52
2020-02-10,50
2020-02-11,55
2020-02-12,51
2020-02-13,50
2020-02-14,47
2020-02-15,42
2020-02-16,49
2020-02-17,52
2020-02-18,50
2020-02-19,46
2020-02-20,49
2020-02-21,47
2020-02-22,41
2020-02-23,49
2020-02-24,49
2020-02-25,50
2020-02-26,67
2020-02-27,54
2020-02-28,45
2020-02-29,43
2020-03-01,51
2020-03-02,53
2020-03-03,55
2020-03-04,54
2020-03-05,49
2020-03-06,52
2020-03-07,47
2020-03-08,51
2020-03-09,51
2020-03-10,51
2020-03-11,45
2020-03-12,53
2020-03-13,61
2020-03-14,76
2020-03-15,62
2020-03-16,60
2020-03-17,61
2020-03-18,60
2020-03-19,100
2020-03-20,62
2020-03-21,61
2020-03-22,81
2020-03-23,69
2020-03-24,62
2020-03-25,68
2020-03-26,59
2020-03-27,73
2020-03-28,67
2020-03-29,69
2020-03-30,61
2020-03-31,61
2020-04-01,60
2020-04-02,62
2020-04-03,60
2020-04-04,71
2020-04-05,76
2020-04-06,61
2020-04-07,61
