Categoría: Cristianismo

Semana,Geo: Suiza
2018-12-30,67
2019-01-06,71
2019-01-13,70
2019-01-20,65
2019-01-27,65
2019-02-03,67
2019-02-10,61
2019-02-17,63
2019-02-24,63
2019-03-03,68
2019-03-10,66
2019-03-17,67
2019-03-24,60
2019-03-31,64
2019-04-07,69
2019-04-14,90
2019-04-21,70
2019-04-28,64
2019-05-05,66
2019-05-12,68
2019-05-19,65
2019-05-26,64
2019-06-02,64
2019-06-09,65
2019-06-16,63
2019-06-23,53
2019-06-30,57
2019-07-07,52
2019-07-14,55
2019-07-21,51
2019-07-28,53
2019-08-04,55
2019-08-11,65
2019-08-18,64
2019-08-25,53
2019-09-01,59
2019-09-08,60
2019-09-15,58
2019-09-22,57
2019-09-29,58
2019-10-06,58
2019-10-13,61
2019-10-20,59
2019-10-27,68
2019-11-03,65
2019-11-10,66
2019-11-17,68
2019-11-24,63
2019-12-01,68
2019-12-08,68
2019-12-15,73
2019-12-22,88
2019-12-29,73
2020-01-05,73
2020-01-12,70
2020-01-19,65
2020-01-26,62
2020-02-02,64
2020-02-09,61
2020-02-16,58
2020-02-23,63
2020-03-01,71
2020-03-08,61
2020-03-15,61
2020-03-22,79
2020-03-29,76
2020-04-05,100
