Categoría: Todas las categorías

Día,Dios: (Portugal)
2019-12-30,47
2019-12-31,80
2020-01-01,56
2020-01-02,41
2020-01-03,51
2020-01-04,65
2020-01-05,59
2020-01-06,46
2020-01-07,54
2020-01-08,51
2020-01-09,54
2020-01-10,59
2020-01-11,52
2020-01-12,58
2020-01-13,57
2020-01-14,54
2020-01-15,55
2020-01-16,51
2020-01-17,53
2020-01-18,72
2020-01-19,73
2020-01-20,64
2020-01-21,55
2020-01-22,50
2020-01-23,54
2020-01-24,58
2020-01-25,68
2020-01-26,59
2020-01-27,52
2020-01-28,52
2020-01-29,52
2020-01-30,47
2020-01-31,49
2020-02-01,60
2020-02-02,61
2020-02-03,55
2020-02-04,48
2020-02-05,47
2020-02-06,61
2020-02-07,52
2020-02-08,58
2020-02-09,72
2020-02-10,51
2020-02-11,52
2020-02-12,65
2020-02-13,59
2020-02-14,62
2020-02-15,57
2020-02-16,61
2020-02-17,55
2020-02-18,55
2020-02-19,63
2020-02-20,53
2020-02-21,62
2020-02-22,72
2020-02-23,84
2020-02-24,51
2020-02-25,63
2020-02-26,47
2020-02-27,50
2020-02-28,53
2020-02-29,71
2020-03-01,70
2020-03-02,44
2020-03-03,50
2020-03-04,66
2020-03-05,46
2020-03-06,60
2020-03-07,67
2020-03-08,61
2020-03-09,52
2020-03-10,54
2020-03-11,49
2020-03-12,47
2020-03-13,51
2020-03-14,62
2020-03-15,67
2020-03-16,47
2020-03-17,62
2020-03-18,66
2020-03-19,73
2020-03-20,77
2020-03-21,91
2020-03-22,94
2020-03-23,79
2020-03-24,67
2020-03-25,76
2020-03-26,66
2020-03-27,74
2020-03-28,83
2020-03-29,83
2020-03-30,69
2020-03-31,57
2020-04-01,65
2020-04-02,67
2020-04-03,57
2020-04-04,75
2020-04-05,100
2020-04-06,73
2020-04-07,73
