Categoría: Todas las categorías

Día,Dios: (Francia)
2019-12-30,62
2019-12-31,73
2020-01-01,77
2020-01-02,63
2020-01-03,63
2020-01-04,69
2020-01-05,74
2020-01-06,56
2020-01-07,65
2020-01-08,61
2020-01-09,63
2020-01-10,62
2020-01-11,72
2020-01-12,73
2020-01-13,59
2020-01-14,70
2020-01-15,63
2020-01-16,65
2020-01-17,65
2020-01-18,74
2020-01-19,81
2020-01-20,62
2020-01-21,70
2020-01-22,69
2020-01-23,65
2020-01-24,67
2020-01-25,81
2020-01-26,89
2020-01-27,66
2020-01-28,69
2020-01-29,66
2020-01-30,60
2020-01-31,70
2020-02-01,76
2020-02-02,93
2020-02-03,75
2020-02-04,72
2020-02-05,68
2020-02-06,69
2020-02-07,70
2020-02-08,75
2020-02-09,75
2020-02-10,75
2020-02-11,65
2020-02-12,67
2020-02-13,67
2020-02-14,69
2020-02-15,72
2020-02-16,84
2020-02-17,65
2020-02-18,69
2020-02-19,68
2020-02-20,67
2020-02-21,65
2020-02-22,70
2020-02-23,73
2020-02-24,62
2020-02-25,63
2020-02-26,61
2020-02-27,64
2020-02-28,63
2020-02-29,68
2020-03-01,78
2020-03-02,73
2020-03-03,62
2020-03-04,68
2020-03-05,65
2020-03-06,72
2020-03-07,73
2020-03-08,71
2020-03-09,62
2020-03-10,65
2020-03-11,63
2020-03-12,64
2020-03-13,62
2020-03-14,67
2020-03-15,63
2020-03-16,65
2020-03-17,66
2020-03-18,76
2020-03-19,85
2020-03-20,84
2020-03-21,95
2020-03-22,98
2020-03-23,88
2020-03-24,84
2020-03-25,84
2020-03-26,87
2020-03-27,88
2020-03-28,90
2020-03-29,100
2020-03-30,90
2020-03-31,86
2020-04-01,89
2020-04-02,91
2020-04-03,88
2020-04-04,92
2020-04-05,97
2020-04-06,86
2020-04-07,81
