Categoría: Todas las categorías

Día,Dios: (España)
2019-12-30,68
2019-12-31,72
2020-01-01,78
2020-01-02,64
2020-01-03,66
2020-01-04,70
2020-01-05,74
2020-01-06,66
2020-01-07,61
2020-01-08,66
2020-01-09,68
2020-01-10,66
2020-01-11,68
2020-01-12,76
2020-01-13,67
2020-01-14,66
2020-01-15,70
2020-01-16,71
2020-01-17,74
2020-01-18,71
2020-01-19,74
2020-01-20,67
2020-01-21,68
2020-01-22,83
2020-01-23,67
2020-01-24,69
2020-01-25,72
2020-01-26,82
2020-01-27,73
2020-01-28,72
2020-01-29,70
2020-01-30,63
2020-01-31,71
2020-02-01,68
2020-02-02,77
2020-02-03,69
2020-02-04,74
2020-02-05,70
2020-02-06,65
2020-02-07,71
2020-02-08,75
2020-02-09,74
2020-02-10,70
2020-02-11,72
2020-02-12,71
2020-02-13,70
2020-02-14,74
2020-02-15,75
2020-02-16,79
2020-02-17,71
2020-02-18,72
2020-02-19,74
2020-02-20,71
2020-02-21,70
2020-02-22,72
2020-02-23,77
2020-02-24,69
2020-02-25,72
2020-02-26,73
2020-02-27,77
2020-02-28,75
2020-02-29,69
2020-03-01,72
2020-03-02,67
2020-03-03,70
2020-03-04,73
2020-03-05,73
2020-03-06,76
2020-03-07,70
2020-03-08,76
2020-03-09,64
2020-03-10,64
2020-03-11,64
2020-03-12,62
2020-03-13,66
2020-03-14,71
2020-03-15,78
2020-03-16,76
2020-03-17,82
2020-03-18,80
2020-03-19,88
2020-03-20,85
2020-03-21,87
2020-03-22,100
2020-03-23,88
2020-03-24,89
2020-03-25,88
2020-03-26,87
2020-03-27,94
2020-03-28,94
2020-03-29,100
2020-03-30,84
2020-03-31,87
2020-04-01,87
2020-04-02,89
2020-04-03,84
2020-04-04,87
2020-04-05,96
2020-04-06,83
2020-04-07,85
