Categoría: Budismo

Semana,Geo: Francia
2018-12-30,85
2019-01-06,81
2019-01-13,74
2019-01-20,80
2019-01-27,77
2019-02-03,79
2019-02-10,81
2019-02-17,71
2019-02-24,84
2019-03-03,75
2019-03-10,77
2019-03-17,75
2019-03-24,78
2019-03-31,80
2019-04-07,81
2019-04-14,82
2019-04-21,76
2019-04-28,82
2019-05-05,86
2019-05-12,100
2019-05-19,79
2019-05-26,67
2019-06-02,83
2019-06-09,75
2019-06-16,76
2019-06-23,70
2019-06-30,73
2019-07-07,73
2019-07-14,76
2019-07-21,67
2019-07-28,75
2019-08-04,80
2019-08-11,77
2019-08-18,76
2019-08-25,77
2019-09-01,78
2019-09-08,74
2019-09-15,72
2019-09-22,77
2019-09-29,78
2019-10-06,69
2019-10-13,76
2019-10-20,68
2019-10-27,70
2019-11-03,70
2019-11-10,70
2019-11-17,75
2019-11-24,72
2019-12-01,75
2019-12-08,72
2019-12-15,78
2019-12-22,76
2019-12-29,86
2020-01-05,72
2020-01-12,73
2020-01-19,72
2020-01-26,76
2020-02-02,78
2020-02-09,74
2020-02-16,72
2020-02-23,74
2020-03-01,68
2020-03-08,66
2020-03-15,66
2020-03-22,70
2020-03-29,75
2020-04-05,71
