Categoría: Budismo

Semana,Geo: Luxemburgo
2018-12-30,82
2019-01-06,76
2019-01-13,73
2019-01-20,46
2019-01-27,35
2019-02-03,64
2019-02-10,61
2019-02-17,0
2019-02-24,47
2019-03-03,66
2019-03-10,99
2019-03-17,78
2019-03-24,79
2019-03-31,79
2019-04-07,56
2019-04-14,52
2019-04-21,92
2019-04-28,70
2019-05-05,72
2019-05-12,57
2019-05-19,82
2019-05-26,55
2019-06-02,74
2019-06-09,64
2019-06-16,59
2019-06-23,74
2019-06-30,66
2019-07-07,72
2019-07-14,100
2019-07-21,44
2019-07-28,53
2019-08-04,45
2019-08-11,68
2019-08-18,58
2019-08-25,83
2019-09-01,66
2019-09-08,0
2019-09-15,51
2019-09-22,54
2019-09-29,56
2019-10-06,63
2019-10-13,39
2019-10-20,49
2019-10-27,73
2019-11-03,65
2019-11-10,76
2019-11-17,74
2019-11-24,42
2019-12-01,62
2019-12-08,90
2019-12-15,68
2019-12-22,71
2019-12-29,67
2020-01-05,80
2020-01-12,66
2020-01-19,61
2020-01-26,60
2020-02-02,73
2020-02-09,68
2020-02-16,71
2020-02-23,49
2020-03-01,51
2020-03-08,44
2020-03-15,46
2020-03-22,57
2020-03-29,58
2020-04-05,59
