Categoría: Budismo

Día,Geo: Países Bajos
2019-12-30,100
2019-12-31,68
2020-01-01,85
2020-01-02,74
2020-01-03,88
2020-01-04,81
2020-01-05,92
2020-01-06,86
2020-01-07,79
2020-01-08,73
2020-01-09,90
2020-01-10,80
2020-01-11,80
2020-01-12,89
2020-01-13,76
2020-01-14,77
2020-01-15,77
2020-01-16,77
2020-01-17,81
2020-01-18,83
2020-01-19,86
2020-01-20,86
2020-01-21,85
2020-01-22,78
2020-01-23,76
2020-01-24,71
2020-01-25,79
2020-01-26,67
2020-01-27,77
2020-01-28,81
2020-01-29,91
2020-01-30,77
2020-01-31,78
2020-02-01,81
2020-02-02,78
2020-02-03,77
2020-02-04,74
2020-02-05,78
2020-02-06,82
2020-02-07,77
2020-02-08,78
2020-02-09,80
2020-02-10,72
2020-02-11,72
2020-02-12,77
2020-02-13,76
2020-02-14,83
2020-02-15,79
2020-02-16,83
2020-02-17,77
2020-02-18,72
2020-02-19,78
2020-02-20,77
2020-02-21,74
2020-02-22,82
2020-02-23,86
2020-02-24,84
2020-02-25,75
2020-02-26,66
2020-02-27,77
2020-02-28,74
2020-02-29,73
2020-03-01,78
2020-03-02,80
2020-03-03,72
2020-03-04,73
2020-03-05,70
2020-03-06,74
2020-03-07,76
2020-03-08,77
2020-03-09,70
2020-03-10,78
2020-03-11,71
2020-03-12,77
2020-03-13,64
2020-03-14,64
2020-03-15,81
2020-03-16,61
2020-03-17,53
2020-03-18,65
2020-03-19,51
2020-03-20,74
2020-03-21,69
2020-03-22,75
2020-03-23,67
2020-03-24,58
2020-03-25,65
2020-03-26,65
2020-03-27,61
2020-03-28,70
2020-03-29,81
2020-03-30,66
2020-03-31,60
2020-04-01,63
2020-04-02,60
2020-04-03,70
2020-04-04,74
2020-04-05,78
2020-04-06,69
2020-04-07,65
