Categoría: Budismo

Día,Geo: Italia
2019-12-30,64
2019-12-31,77
2020-01-01,76
2020-01-02,74
2020-01-03,71
2020-01-04,72
2020-01-05,74
2020-01-06,65
2020-01-07,74
2020-01-08,64
2020-01-09,70
2020-01-10,66
2020-01-11,78
2020-01-12,83
2020-01-13,74
2020-01-14,65
2020-01-15,70
2020-01-16,72
2020-01-17,67
2020-01-18,76
2020-01-19,79
2020-01-20,70
2020-01-21,80
2020-01-22,74
2020-01-23,72
2020-01-24,76
2020-01-25,83
2020-01-26,81
2020-01-27,74
2020-01-28,66
2020-01-29,76
2020-01-30,68
2020-01-31,63
2020-02-01,77
2020-02-02,65
2020-02-03,66
2020-02-04,74
2020-02-05,70
2020-02-06,68
2020-02-07,68
2020-02-08,67
2020-02-09,70
2020-02-10,68
2020-02-11,71
2020-02-12,71
2020-02-13,64
2020-02-14,69
2020-02-15,81
2020-02-16,77
2020-02-17,71
2020-02-18,70
2020-02-19,68
2020-02-20,63
2020-02-21,66
2020-02-22,64
2020-02-23,66
2020-02-24,55
2020-02-25,64
2020-02-26,66
2020-02-27,69
2020-02-28,64
2020-02-29,99
2020-03-01,69
2020-03-02,61
2020-03-03,67
2020-03-04,55
2020-03-05,63
2020-03-06,71
2020-03-07,65
2020-03-08,59
2020-03-09,59
2020-03-10,60
2020-03-11,58
2020-03-12,72
2020-03-13,66
2020-03-14,88
2020-03-15,83
2020-03-16,71
2020-03-17,78
2020-03-18,72
2020-03-19,75
2020-03-20,82
2020-03-21,99
2020-03-22,97
2020-03-23,78
2020-03-24,82
2020-03-25,83
2020-03-26,77
2020-03-27,81
2020-03-28,95
2020-03-29,100
2020-03-30,74
2020-03-31,77
2020-04-01,75
2020-04-02,96
2020-04-03,74
2020-04-04,81
2020-04-05,85
2020-04-06,79
2020-04-07,83
