Categoría: Budismo

Día,Geo: España
2019-12-30,65
2019-12-31,57
2020-01-01,70
2020-01-02,69
2020-01-03,67
2020-01-04,61
2020-01-05,74
2020-01-06,63
2020-01-07,62
2020-01-08,72
2020-01-09,75
2020-01-10,62
2020-01-11,69
2020-01-12,75
2020-01-13,77
2020-01-14,72
2020-01-15,68
2020-01-16,71
2020-01-17,83
2020-01-18,100
2020-01-19,86
2020-01-20,82
2020-01-21,72
2020-01-22,70
2020-01-23,78
2020-01-24,65
2020-01-25,75
2020-01-26,77
2020-01-27,67
2020-01-28,69
2020-01-29,68
2020-01-30,69
2020-01-31,67
2020-02-01,74
2020-02-02,76
2020-02-03,65
2020-02-04,66
2020-02-05,65
2020-02-06,64
2020-02-07,67
2020-02-08,66
2020-02-09,78
2020-02-10,67
2020-02-11,68
2020-02-12,64
2020-02-13,69
2020-02-14,64
2020-02-15,71
2020-02-16,84
2020-02-17,67
2020-02-18,69
2020-02-19,64
2020-02-20,70
2020-02-21,72
2020-02-22,76
2020-02-23,78
2020-02-24,65
2020-02-25,62
2020-02-26,56
2020-02-27,71
2020-02-28,64
2020-02-29,68
2020-03-01,78
2020-03-02,74
2020-03-03,59
2020-03-04,62
2020-03-05,70
2020-03-06,66
2020-03-07,74
2020-03-08,68
2020-03-09,70
2020-03-10,64
2020-03-11,60
2020-03-12,49
2020-03-13,45
2020-03-14,62
2020-03-15,57
2020-03-16,52
2020-03-17,61
2020-03-18,59
2020-03-19,60
2020-03-20,68
2020-03-21,74
2020-03-22,83
2020-03-23,68
2020-03-24,67
2020-03-25,74
2020-03-26,59
2020-03-27,66
2020-03-28,78
2020-03-29,79
2020-03-30,73
2020-03-31,67
2020-04-01,78
2020-04-02,77
2020-04-03,72
2020-04-04,68
2020-04-05,87
2020-04-06,72
2020-04-07,79
