Categoría: Religión y creencias

Día,Oración: (España)
2019-12-30,46
2019-12-31,58
2020-01-01,54
2020-01-02,45
2020-01-03,48
2020-01-04,49
2020-01-05,54
2020-01-06,53
2020-01-07,51
2020-01-08,52
2020-01-09,58
2020-01-10,52
2020-01-11,54
2020-01-12,52
2020-01-13,52
2020-01-14,57
2020-01-15,59
2020-01-16,50
2020-01-17,56
2020-01-18,54
2020-01-19,54
2020-01-20,52
2020-01-21,53
2020-01-22,54
2020-01-23,50
2020-01-24,57
2020-01-25,49
2020-01-26,54
2020-01-27,52
2020-01-28,57
2020-01-29,58
2020-01-30,54
2020-01-31,54
2020-02-01,49
2020-02-02,61
2020-02-03,59
2020-02-04,57
2020-02-05,58
2020-02-06,59
2020-02-07,59
2020-02-08,58
2020-02-09,60
2020-02-10,61
2020-02-11,62
2020-02-12,60
2020-02-13,54
2020-02-14,55
2020-02-15,56
2020-02-16,52
2020-02-17,57
2020-02-18,60
2020-02-19,57
2020-02-20,58
2020-02-21,53
2020-02-22,53
2020-02-23,59
2020-02-24,56
2020-02-25,57
2020-02-26,53
2020-02-27,57
2020-02-28,58
2020-02-29,55
2020-03-01,55
2020-03-02,56
2020-03-03,61
2020-03-04,61
2020-03-05,58
2020-03-06,60
2020-03-07,55
2020-03-08,55
2020-03-09,56
2020-03-10,56
2020-03-11,55
2020-03-12,54
2020-03-13,56
2020-03-14,64
2020-03-15,67
2020-03-16,70
2020-03-17,81
2020-03-18,74
2020-03-19,82
2020-03-20,76
2020-03-21,85
2020-03-22,95
2020-03-23,82
2020-03-24,86
2020-03-25,98
2020-03-26,79
2020-03-27,92
2020-03-28,84
2020-03-29,100
2020-03-30,88
2020-03-31,82
2020-04-01,80
2020-04-02,82
2020-04-03,79
2020-04-04,78
2020-04-05,84
2020-04-06,83
2020-04-07,77
