Categoría: Religión y creencias

Día,Oración: (Reino Unido)
2019-12-30,41
2019-12-31,53
2020-01-01,52
2020-01-02,48
2020-01-03,55
2020-01-04,47
2020-01-05,57
2020-01-06,52
2020-01-07,49
2020-01-08,53
2020-01-09,49
2020-01-10,56
2020-01-11,51
2020-01-12,53
2020-01-13,49
2020-01-14,52
2020-01-15,52
2020-01-16,50
2020-01-17,51
2020-01-18,50
2020-01-19,52
2020-01-20,51
2020-01-21,50
2020-01-22,50
2020-01-23,51
2020-01-24,52
2020-01-25,49
2020-01-26,55
2020-01-27,51
2020-01-28,46
2020-01-29,46
2020-01-30,48
2020-01-31,50
2020-02-01,50
2020-02-02,52
2020-02-03,49
2020-02-04,50
2020-02-05,48
2020-02-06,49
2020-02-07,48
2020-02-08,44
2020-02-09,48
2020-02-10,49
2020-02-11,43
2020-02-12,52
2020-02-13,47
2020-02-14,51
2020-02-15,43
2020-02-16,47
2020-02-17,43
2020-02-18,47
2020-02-19,47
2020-02-20,47
2020-02-21,57
2020-02-22,47
2020-02-23,53
2020-02-24,50
2020-02-25,51
2020-02-26,48
2020-02-27,52
2020-02-28,55
2020-02-29,49
2020-03-01,53
2020-03-02,52
2020-03-03,51
2020-03-04,54
2020-03-05,54
2020-03-06,63
2020-03-07,51
2020-03-08,53
2020-03-09,47
2020-03-10,47
2020-03-11,51
2020-03-12,42
2020-03-13,51
2020-03-14,55
2020-03-15,61
2020-03-16,52
2020-03-17,57
2020-03-18,61
2020-03-19,73
2020-03-20,80
2020-03-21,74
2020-03-22,91
2020-03-23,65
2020-03-24,69
2020-03-25,87
2020-03-26,74
2020-03-27,100
2020-03-28,78
2020-03-29,96
2020-03-30,75
2020-03-31,77
2020-04-01,77
2020-04-02,79
2020-04-03,83
2020-04-04,80
2020-04-05,97
2020-04-06,84
2020-04-07,98
