Categoría: Religión y creencias

Día,Oración: (Alemania)
2019-12-30,35
2019-12-31,41
2020-01-01,49
2020-01-02,38
2020-01-03,39
2020-01-04,41
2020-01-05,39
2020-01-06,46
2020-01-07,45
2020-01-08,38
2020-01-09,42
2020-01-10,44
2020-01-11,38
2020-01-12,44
2020-01-13,35
2020-01-14,40
2020-01-15,40
2020-01-16,43
2020-01-17,40
2020-01-18,40
2020-01-19,47
2020-01-20,42
2020-01-21,38
2020-01-22,38
2020-01-23,39
2020-01-24,41
2020-01-25,44
2020-01-26,45
2020-01-27,41
2020-01-28,43
2020-01-29,43
2020-01-30,39
2020-01-31,43
2020-02-01,40
2020-02-02,46
2020-02-03,35
2020-02-04,42
2020-02-05,38
2020-02-06,41
2020-02-07,40
2020-02-08,37
2020-02-09,39
2020-02-10,32
2020-02-11,40
2020-02-12,41
2020-02-13,41
2020-02-14,41
2020-02-15,40
2020-02-16,38
2020-02-17,39
2020-02-18,46
2020-02-19,37
2020-02-20,38
2020-02-21,44
2020-02-22,41
2020-02-23,39
2020-02-24,43
2020-02-25,42
2020-02-26,43
2020-02-27,59
2020-02-28,47
2020-02-29,37
2020-03-01,44
2020-03-02,38
2020-03-03,40
2020-03-04,39
2020-03-05,41
2020-03-06,47
2020-03-07,43
2020-03-08,42
2020-03-09,42
2020-03-10,41
2020-03-11,37
2020-03-12,39
2020-03-13,34
2020-03-14,41
2020-03-15,45
2020-03-16,41
2020-03-17,39
2020-03-18,44
2020-03-19,70
2020-03-20,67
2020-03-21,100
2020-03-22,88
2020-03-23,58
2020-03-24,58
2020-03-25,65
2020-03-26,60
2020-03-27,80
2020-03-28,60
2020-03-29,70
2020-03-30,52
2020-03-31,55
2020-04-01,54
2020-04-02,56
2020-04-03,53
2020-04-04,63
2020-04-05,60
2020-04-06,49
2020-04-07,83
