Categoría: Judaísmo

Día,Geo: Francia
2019-12-30,56
2019-12-31,55
2020-01-01,65
2020-01-02,55
2020-01-03,64
2020-01-04,65
2020-01-05,60
2020-01-06,59
2020-01-07,62
2020-01-08,52
2020-01-09,55
2020-01-10,53
2020-01-11,56
2020-01-12,64
2020-01-13,53
2020-01-14,48
2020-01-15,53
2020-01-16,51
2020-01-17,55
2020-01-18,55
2020-01-19,61
2020-01-20,54
2020-01-21,56
2020-01-22,70
2020-01-23,77
2020-01-24,74
2020-01-25,75
2020-01-26,100
2020-01-27,94
2020-01-28,93
2020-01-29,65
2020-01-30,70
2020-01-31,66
2020-02-01,74
2020-02-02,84
2020-02-03,63
2020-02-04,60
2020-02-05,58
2020-02-06,62
2020-02-07,60
2020-02-08,55
2020-02-09,69
2020-02-10,54
2020-02-11,60
2020-02-12,53
2020-02-13,57
2020-02-14,54
2020-02-15,51
2020-02-16,56
2020-02-17,56
2020-02-18,54
2020-02-19,52
2020-02-20,55
2020-02-21,56
2020-02-22,80
2020-02-23,92
2020-02-24,73
2020-02-25,66
2020-02-26,60
2020-02-27,63
2020-02-28,62
2020-02-29,59
2020-03-01,67
2020-03-02,57
2020-03-03,55
2020-03-04,56
2020-03-05,55
2020-03-06,60
2020-03-07,55
2020-03-08,86
2020-03-09,66
2020-03-10,61
2020-03-11,51
2020-03-12,52
2020-03-13,53
2020-03-14,48
2020-03-15,64
2020-03-16,52
2020-03-17,59
2020-03-18,62
2020-03-19,58
2020-03-20,61
2020-03-21,66
2020-03-22,75
2020-03-23,66
2020-03-24,67
2020-03-25,68
2020-03-26,72
2020-03-27,72
2020-03-28,71
2020-03-29,89
2020-03-30,76
2020-03-31,81
2020-04-01,75
2020-04-02,76
2020-04-03,69
2020-04-04,74
2020-04-05,86
2020-04-06,75
2020-04-07,77
