Categoría: Judaísmo

Día,Geo: Bélgica
2019-12-30,58
2019-12-31,62
2020-01-01,69
2020-01-02,55
2020-01-03,59
2020-01-04,65
2020-01-05,71
2020-01-06,76
2020-01-07,61
2020-01-08,75
2020-01-09,72
2020-01-10,56
2020-01-11,66
2020-01-12,79
2020-01-13,68
2020-01-14,61
2020-01-15,61
2020-01-16,58
2020-01-17,65
2020-01-18,59
2020-01-19,65
2020-01-20,63
2020-01-21,68
2020-01-22,66
2020-01-23,61
2020-01-24,85
2020-01-25,77
2020-01-26,77
2020-01-27,81
2020-01-28,75
2020-01-29,73
2020-01-30,69
2020-01-31,69
2020-02-01,59
2020-02-02,71
2020-02-03,63
2020-02-04,70
2020-02-05,59
2020-02-06,57
2020-02-07,55
2020-02-08,56
2020-02-09,65
2020-02-10,64
2020-02-11,47
2020-02-12,70
2020-02-13,71
2020-02-14,47
2020-02-15,42
2020-02-16,69
2020-02-17,62
2020-02-18,66
2020-02-19,51
2020-02-20,61
2020-02-21,58
2020-02-22,88
2020-02-23,100
2020-02-24,82
2020-02-25,62
2020-02-26,68
2020-02-27,69
2020-02-28,50
2020-02-29,67
2020-03-01,79
2020-03-02,52
2020-03-03,47
2020-03-04,61
2020-03-05,73
2020-03-06,64
2020-03-07,63
2020-03-08,76
2020-03-09,68
2020-03-10,73
2020-03-11,62
2020-03-12,56
2020-03-13,55
2020-03-14,59
2020-03-15,71
2020-03-16,57
2020-03-17,50
2020-03-18,57
2020-03-19,62
2020-03-20,75
2020-03-21,72
2020-03-22,76
2020-03-23,65
2020-03-24,74
2020-03-25,49
2020-03-26,65
2020-03-27,76
2020-03-28,86
2020-03-29,93
2020-03-30,78
2020-03-31,82
2020-04-01,78
2020-04-02,92
2020-04-03,85
2020-04-04,68
2020-04-05,94
2020-04-06,77
2020-04-07,79
