Categoría: Judaísmo

Semana,Geo: Bélgica
2018-12-30,65
2019-01-06,70
2019-01-13,67
2019-01-20,70
2019-01-27,63
2019-02-03,68
2019-02-10,82
2019-02-17,100
2019-02-24,64
2019-03-03,66
2019-03-10,72
2019-03-17,74
2019-03-24,65
2019-03-31,62
2019-04-07,61
2019-04-14,58
2019-04-21,66
2019-04-28,63
2019-05-05,67
2019-05-12,66
2019-05-19,66
2019-05-26,65
2019-06-02,70
2019-06-09,64
2019-06-16,60
2019-06-23,48
2019-06-30,47
2019-07-07,54
2019-07-14,52
2019-07-21,48
2019-07-28,54
2019-08-04,55
2019-08-11,55
2019-08-18,54
2019-08-25,58
2019-09-01,64
2019-09-08,59
2019-09-15,64
2019-09-22,62
2019-09-29,70
2019-10-06,68
2019-10-13,67
2019-10-20,66
2019-10-27,71
2019-11-03,67
2019-11-10,67
2019-11-17,70
2019-11-24,61
2019-12-01,64
2019-12-08,67
2019-12-15,68
2019-12-22,68
2019-12-29,70
2020-01-05,68
2020-01-12,72
2020-01-19,77
2020-01-26,82
2020-02-02,65
2020-02-09,61
2020-02-16,74
2020-02-23,78
2020-03-01,66
2020-03-08,70
2020-03-15,69
2020-03-22,80
2020-03-29,89
2020-04-05,87
