Categoría: Judaísmo

Día,Geo: Suiza
2019-12-30,54
2019-12-31,49
2020-01-01,51
2020-01-02,38
2020-01-03,40
2020-01-04,45
2020-01-05,57
2020-01-06,49
2020-01-07,52
2020-01-08,36
2020-01-09,45
2020-01-10,52
2020-01-11,42
2020-01-12,55
2020-01-13,50
2020-01-14,51
2020-01-15,47
2020-01-16,42
2020-01-17,53
2020-01-18,43
2020-01-19,53
2020-01-20,49
2020-01-21,54
2020-01-22,43
2020-01-23,49
2020-01-24,60
2020-01-25,61
2020-01-26,84
2020-01-27,77
2020-01-28,58
2020-01-29,46
2020-01-30,66
2020-01-31,61
2020-02-01,51
2020-02-02,58
2020-02-03,45
2020-02-04,63
2020-02-05,50
2020-02-06,44
2020-02-07,51
2020-02-08,51
2020-02-09,41
2020-02-10,56
2020-02-11,40
2020-02-12,50
2020-02-13,49
2020-02-14,48
2020-02-15,47
2020-02-16,42
2020-02-17,37
2020-02-18,38
2020-02-19,44
2020-02-20,44
2020-02-21,48
2020-02-22,43
2020-02-23,54
2020-02-24,54
2020-02-25,64
2020-02-26,51
2020-02-27,42
2020-02-28,39
2020-02-29,54
2020-03-01,43
2020-03-02,62
2020-03-03,59
2020-03-04,48
2020-03-05,46
2020-03-06,60
2020-03-07,50
2020-03-08,54
2020-03-09,57
2020-03-10,58
2020-03-11,44
2020-03-12,53
2020-03-13,41
2020-03-14,41
2020-03-15,50
2020-03-16,51
2020-03-17,45
2020-03-18,50
2020-03-19,53
2020-03-20,48
2020-03-21,66
2020-03-22,57
2020-03-23,49
2020-03-24,49
2020-03-25,44
2020-03-26,65
2020-03-27,64
2020-03-28,63
2020-03-29,100
2020-03-30,74
2020-03-31,75
2020-04-01,58
2020-04-02,66
2020-04-03,81
2020-04-04,62
2020-04-05,83
2020-04-06,73
2020-04-07,56
