Categoría: Judaísmo

Semana,Geo: Alemania
2018-12-30,57
2019-01-06,56
2019-01-13,59
2019-01-20,61
2019-01-27,63
2019-02-03,52
2019-02-10,60
2019-02-17,57
2019-02-24,53
2019-03-03,56
2019-03-10,57
2019-03-17,61
2019-03-24,59
2019-03-31,56
2019-04-07,54
2019-04-14,54
2019-04-21,58
2019-04-28,63
2019-05-05,61
2019-05-12,58
2019-05-19,61
2019-05-26,52
2019-06-02,54
2019-06-09,52
2019-06-16,54
2019-06-23,52
2019-06-30,50
2019-07-07,52
2019-07-14,56
2019-07-21,47
2019-07-28,51
2019-08-04,52
2019-08-11,57
2019-08-18,51
2019-08-25,53
2019-09-01,49
2019-09-08,51
2019-09-15,52
2019-09-22,52
2019-09-29,59
2019-10-06,73
2019-10-13,58
2019-10-20,59
2019-10-27,60
2019-11-03,56
2019-11-10,100
2019-11-17,72
2019-11-24,53
2019-12-01,49
2019-12-08,56
2019-12-15,49
2019-12-22,61
2019-12-29,60
2020-01-05,55
2020-01-12,54
2020-01-19,62
2020-01-26,73
2020-02-02,55
2020-02-09,53
2020-02-16,54
2020-02-23,54
2020-03-01,57
2020-03-08,52
2020-03-15,54
2020-03-22,64
2020-03-29,76
2020-04-05,79
