Categoría: Judaísmo

Día,Geo: Portugal
2019-12-30,74
2019-12-31,53
2020-01-01,66
2020-01-02,74
2020-01-03,86
2020-01-04,82
2020-01-05,74
2020-01-06,74
2020-01-07,60
2020-01-08,56
2020-01-09,53
2020-01-10,70
2020-01-11,58
2020-01-12,53
2020-01-13,72
2020-01-14,73
2020-01-15,55
2020-01-16,64
2020-01-17,53
2020-01-18,59
2020-01-19,67
2020-01-20,64
2020-01-21,52
2020-01-22,52
2020-01-23,79
2020-01-24,88
2020-01-25,64
2020-01-26,64
2020-01-27,77
2020-01-28,57
2020-01-29,71
2020-01-30,68
2020-01-31,62
2020-02-01,83
2020-02-02,61
2020-02-03,68
2020-02-04,44
2020-02-05,64
2020-02-06,73
2020-02-07,62
2020-02-08,59
2020-02-09,68
2020-02-10,69
2020-02-11,56
2020-02-12,56
2020-02-13,65
2020-02-14,71
2020-02-15,65
2020-02-16,71
2020-02-17,73
2020-02-18,57
2020-02-19,64
2020-02-20,51
2020-02-21,60
2020-02-22,48
2020-02-23,51
2020-02-24,57
2020-02-25,51
2020-02-26,76
2020-02-27,43
2020-02-28,77
2020-02-29,72
2020-03-01,78
2020-03-02,71
2020-03-03,64
2020-03-04,64
2020-03-05,68
2020-03-06,64
2020-03-07,51
2020-03-08,72
2020-03-09,100
2020-03-10,67
2020-03-11,60
2020-03-12,73
2020-03-13,54
2020-03-14,63
2020-03-15,64
2020-03-16,53
2020-03-17,54
2020-03-18,62
2020-03-19,49
2020-03-20,75
2020-03-21,60
2020-03-22,79
2020-03-23,77
2020-03-24,73
2020-03-25,83
2020-03-26,79
2020-03-27,99
2020-03-28,69
2020-03-29,89
2020-03-30,62
2020-03-31,75
2020-04-01,53
2020-04-02,54
2020-04-03,50
2020-04-04,50
2020-04-05,79
2020-04-06,74
2020-04-07,63
