Categoría: Todas las categorías

Día,Kirche: (Alemania)
2019-12-30,53
2019-12-31,66
2020-01-01,58
2020-01-02,49
2020-01-03,48
2020-01-04,66
2020-01-05,77
2020-01-06,65
2020-01-07,52
2020-01-08,47
2020-01-09,50
2020-01-10,48
2020-01-11,57
2020-01-12,66
2020-01-13,51
2020-01-14,53
2020-01-15,47
2020-01-16,51
2020-01-17,48
2020-01-18,59
2020-01-19,71
2020-01-20,49
2020-01-21,48
2020-01-22,46
2020-01-23,47
2020-01-24,50
2020-01-25,56
2020-01-26,61
2020-01-27,45
2020-01-28,46
2020-01-29,44
2020-01-30,46
2020-01-31,43
2020-02-01,53
2020-02-02,61
2020-02-03,44
2020-02-04,46
2020-02-05,45
2020-02-06,45
2020-02-07,46
2020-02-08,51
2020-02-09,52
2020-02-10,38
2020-02-11,47
2020-02-12,48
2020-02-13,46
2020-02-14,60
2020-02-15,58
2020-02-16,61
2020-02-17,45
2020-02-18,46
2020-02-19,45
2020-02-20,45
2020-02-21,46
2020-02-22,53
2020-02-23,60
2020-02-24,42
2020-02-25,48
2020-02-26,57
2020-02-27,45
2020-02-28,41
2020-02-29,52
2020-03-01,65
2020-03-02,44
2020-03-03,47
2020-03-04,46
2020-03-05,45
2020-03-06,47
2020-03-07,53
2020-03-08,64
2020-03-09,42
2020-03-10,42
2020-03-11,41
2020-03-12,46
2020-03-13,61
2020-03-14,100
2020-03-15,92
2020-03-16,44
2020-03-17,42
2020-03-18,41
2020-03-19,43
2020-03-20,45
2020-03-21,55
2020-03-22,88
2020-03-23,41
2020-03-24,38
2020-03-25,39
2020-03-26,38
2020-03-27,39
2020-03-28,44
2020-03-29,80
2020-03-30,38
2020-03-31,37
2020-04-01,38
2020-04-02,39
2020-04-03,38
2020-04-04,47
2020-04-05,99
2020-04-06,40
2020-04-07,43
