Categoría: Todas las categorías

Día,Kirche: (Austria)
2019-12-30,68
2019-12-31,71
2020-01-01,62
2020-01-02,54
2020-01-03,52
2020-01-04,65
2020-01-05,81
2020-01-06,100
2020-01-07,58
2020-01-08,54
2020-01-09,49
2020-01-10,56
2020-01-11,55
2020-01-12,73
2020-01-13,48
2020-01-14,51
2020-01-15,55
2020-01-16,45
2020-01-17,51
2020-01-18,66
2020-01-19,68
2020-01-20,48
2020-01-21,45
2020-01-22,48
2020-01-23,48
2020-01-24,45
2020-01-25,57
2020-01-26,56
2020-01-27,46
2020-01-28,46
2020-01-29,41
2020-01-30,39
2020-01-31,39
2020-02-01,66
2020-02-02,68
2020-02-03,47
2020-02-04,42
2020-02-05,41
2020-02-06,45
2020-02-07,48
2020-02-08,50
2020-02-09,65
2020-02-10,47
2020-02-11,44
2020-02-12,53
2020-02-13,50
2020-02-14,49
2020-02-15,60
2020-02-16,66
2020-02-17,53
2020-02-18,37
2020-02-19,44
2020-02-20,42
2020-02-21,59
2020-02-22,58
2020-02-23,66
2020-02-24,47
2020-02-25,49
2020-02-26,54
2020-02-27,46
2020-02-28,47
2020-02-29,55
2020-03-01,61
2020-03-02,40
2020-03-03,45
2020-03-04,50
2020-03-05,41
2020-03-06,47
2020-03-07,51
2020-03-08,67
2020-03-09,41
2020-03-10,46
2020-03-11,60
2020-03-12,60
2020-03-13,41
2020-03-14,65
2020-03-15,54
2020-03-16,35
2020-03-17,33
2020-03-18,33
2020-03-19,45
2020-03-20,47
2020-03-21,55
2020-03-22,73
2020-03-23,41
2020-03-24,38
2020-03-25,44
2020-03-26,39
2020-03-27,43
2020-03-28,50
2020-03-29,69
2020-03-30,37
2020-03-31,36
2020-04-01,42
2020-04-02,35
2020-04-03,42
2020-04-04,60
2020-04-05,87
2020-04-06,36
2020-04-07,35
