Categoría: Todas las categorías

Día,Igreja: (Portugal)
2019-12-30,80
2019-12-31,82
2020-01-01,88
2020-01-02,61
2020-01-03,68
2020-01-04,86
2020-01-05,96
2020-01-06,72
2020-01-07,57
2020-01-08,72
2020-01-09,60
2020-01-10,61
2020-01-11,100
2020-01-12,86
2020-01-13,64
2020-01-14,68
2020-01-15,62
2020-01-16,60
2020-01-17,60
2020-01-18,93
2020-01-19,99
2020-01-20,59
2020-01-21,57
2020-01-22,66
2020-01-23,69
2020-01-24,64
2020-01-25,99
2020-01-26,87
2020-01-27,57
2020-01-28,60
2020-01-29,69
2020-01-30,59
2020-01-31,67
2020-02-01,79
2020-02-02,97
2020-02-03,60
2020-02-04,61
2020-02-05,65
2020-02-06,65
2020-02-07,62
2020-02-08,72
2020-02-09,87
2020-02-10,61
2020-02-11,65
2020-02-12,67
2020-02-13,67
2020-02-14,71
2020-02-15,80
2020-02-16,96
2020-02-17,72
2020-02-18,74
2020-02-19,61
2020-02-20,68
2020-02-21,71
2020-02-22,79
2020-02-23,98
2020-02-24,63
2020-02-25,68
2020-02-26,79
2020-02-27,56
2020-02-28,64
2020-02-29,89
2020-03-01,88
2020-03-02,61
2020-03-03,55
2020-03-04,61
2020-03-05,63
2020-03-06,62
2020-03-07,74
2020-03-08,93
2020-03-09,69
2020-03-10,53
2020-03-11,49
2020-03-12,54
2020-03-13,56
2020-03-14,51
2020-03-15,68
2020-03-16,40
2020-03-17,42
2020-03-18,39
2020-03-19,50
2020-03-20,45
2020-03-21,51
2020-03-22,65
2020-03-23,40
2020-03-24,46
2020-03-25,47
2020-03-26,44
2020-03-27,52
2020-03-28,65
2020-03-29,69
2020-03-30,38
2020-03-31,38
2020-04-01,39
2020-04-02,42
2020-04-03,39
2020-04-04,51
2020-04-05,66
2020-04-06,43
2020-04-07,41
