Categoría: Todas las categorías

Día,Église: (Francia)
2019-12-30,83
2019-12-31,69
2020-01-01,64
2020-01-02,64
2020-01-03,71
2020-01-04,75
2020-01-05,94
2020-01-06,71
2020-01-07,66
2020-01-08,61
2020-01-09,64
2020-01-10,65
2020-01-11,87
2020-01-12,99
2020-01-13,67
2020-01-14,69
2020-01-15,73
2020-01-16,72
2020-01-17,68
2020-01-18,87
2020-01-19,94
2020-01-20,61
2020-01-21,64
2020-01-22,80
2020-01-23,79
2020-01-24,70
2020-01-25,79
2020-01-26,94
2020-01-27,61
2020-01-28,75
2020-01-29,62
2020-01-30,68
2020-01-31,75
2020-02-01,84
2020-02-02,100
2020-02-03,68
2020-02-04,65
2020-02-05,69
2020-02-06,64
2020-02-07,75
2020-02-08,78
2020-02-09,89
2020-02-10,67
2020-02-11,71
2020-02-12,68
2020-02-13,63
2020-02-14,68
2020-02-15,79
2020-02-16,81
2020-02-17,63
2020-02-18,65
2020-02-19,76
2020-02-20,69
2020-02-21,78
2020-02-22,77
2020-02-23,88
2020-02-24,72
2020-02-25,71
2020-02-26,86
2020-02-27,64
2020-02-28,64
2020-02-29,79
2020-03-01,77
2020-03-02,67
2020-03-03,87
2020-03-04,75
2020-03-05,81
2020-03-06,80
2020-03-07,98
2020-03-08,86
2020-03-09,69
2020-03-10,71
2020-03-11,75
2020-03-12,60
2020-03-13,64
2020-03-14,78
2020-03-15,65
2020-03-16,50
2020-03-17,37
2020-03-18,46
2020-03-19,49
2020-03-20,52
2020-03-21,68
2020-03-22,73
2020-03-23,53
2020-03-24,48
2020-03-25,68
2020-03-26,53
2020-03-27,48
2020-03-28,59
2020-03-29,81
2020-03-30,55
2020-03-31,56
2020-04-01,55
2020-04-02,51
2020-04-03,48
2020-04-04,69
2020-04-05,89
2020-04-06,62
2020-04-07,53
