Categoría: Todas las categorías

Día,Iglesia: (España)
2019-12-30,66
2019-12-31,61
2020-01-01,75
2020-01-02,60
2020-01-03,61
2020-01-04,69
2020-01-05,84
2020-01-06,61
2020-01-07,54
2020-01-08,74
2020-01-09,64
2020-01-10,70
2020-01-11,80
2020-01-12,84
2020-01-13,70
2020-01-14,65
2020-01-15,65
2020-01-16,69
2020-01-17,75
2020-01-18,77
2020-01-19,81
2020-01-20,58
2020-01-21,55
2020-01-22,57
2020-01-23,59
2020-01-24,60
2020-01-25,73
2020-01-26,82
2020-01-27,56
2020-01-28,69
2020-01-29,67
2020-01-30,63
2020-01-31,73
2020-02-01,77
2020-02-02,88
2020-02-03,67
2020-02-04,65
2020-02-05,65
2020-02-06,64
2020-02-07,68
2020-02-08,83
2020-02-09,85
2020-02-10,65
2020-02-11,66
2020-02-12,65
2020-02-13,69
2020-02-14,68
2020-02-15,88
2020-02-16,91
2020-02-17,69
2020-02-18,68
2020-02-19,70
2020-02-20,73
2020-02-21,73
2020-02-22,87
2020-02-23,93
2020-02-24,69
2020-02-25,74
2020-02-26,92
2020-02-27,68
2020-02-28,75
2020-02-29,86
2020-03-01,100
2020-03-02,83
2020-03-03,75
2020-03-04,70
2020-03-05,67
2020-03-06,77
2020-03-07,87
2020-03-08,92
2020-03-09,63
2020-03-10,56
2020-03-11,52
2020-03-12,46
2020-03-13,41
2020-03-14,53
2020-03-15,53
2020-03-16,40
2020-03-17,45
2020-03-18,46
2020-03-19,52
2020-03-20,47
2020-03-21,56
2020-03-22,67
2020-03-23,55
2020-03-24,49
2020-03-25,53
2020-03-26,52
2020-03-27,55
2020-03-28,50
2020-03-29,64
2020-03-30,51
2020-03-31,55
2020-04-01,58
2020-04-02,56
2020-04-03,53
2020-04-04,60
2020-04-05,86
2020-04-06,58
2020-04-07,56
