Categoría: Religión y creencias

Día,Dios: (Portugal)
2019-12-30,30
2019-12-31,74
2020-01-01,48
2020-01-02,58
2020-01-03,50
2020-01-04,58
2020-01-05,67
2020-01-06,29
2020-01-07,39
2020-01-08,37
2020-01-09,51
2020-01-10,49
2020-01-11,42
2020-01-12,48
2020-01-13,49
2020-01-14,43
2020-01-15,59
2020-01-16,51
2020-01-17,36
2020-01-18,77
2020-01-19,98
2020-01-20,75
2020-01-21,63
2020-01-22,34
2020-01-23,71
2020-01-24,62
2020-01-25,84
2020-01-26,55
2020-01-27,43
2020-01-28,52
2020-01-29,34
2020-01-30,45
2020-01-31,44
2020-02-01,52
2020-02-02,69
2020-02-03,34
2020-02-04,40
2020-02-05,0
2020-02-06,39
2020-02-07,57
2020-02-08,48
2020-02-09,79
2020-02-10,60
2020-02-11,61
2020-02-12,52
2020-02-13,42
2020-02-14,53
2020-02-15,89
2020-02-16,75
2020-02-17,53
2020-02-18,46
2020-02-19,74
2020-02-20,39
2020-02-21,61
2020-02-22,70
2020-02-23,79
2020-02-24,42
2020-02-25,48
2020-02-26,26
2020-02-27,41
2020-02-28,57
2020-02-29,63
2020-03-01,67
2020-03-02,42
2020-03-03,55
2020-03-04,28
2020-03-05,61
2020-03-06,57
2020-03-07,64
2020-03-08,45
2020-03-09,45
2020-03-10,42
2020-03-11,49
2020-03-12,40
2020-03-13,43
2020-03-14,67
2020-03-15,69
2020-03-16,52
2020-03-17,61
2020-03-18,68
2020-03-19,82
2020-03-20,71
2020-03-21,100
2020-03-22,84
2020-03-23,84
2020-03-24,57
2020-03-25,78
2020-03-26,51
2020-03-27,75
2020-03-28,78
2020-03-29,73
2020-03-30,66
2020-03-31,59
2020-04-01,55
2020-04-02,48
2020-04-03,55
2020-04-04,78
2020-04-05,82
2020-04-06,73
2020-04-07,56
