Categoría: Religión y creencias

Día,Dios: (Irlanda)
2019-12-30,54
2019-12-31,52
2020-01-01,43
2020-01-02,33
2020-01-03,0
2020-01-04,56
2020-01-05,63
2020-01-06,46
2020-01-07,0
2020-01-08,48
2020-01-09,36
2020-01-10,59
2020-01-11,60
2020-01-12,42
2020-01-13,0
2020-01-14,50
2020-01-15,45
2020-01-16,57
2020-01-17,33
2020-01-18,69
2020-01-19,42
2020-01-20,37
2020-01-21,30
2020-01-22,61
2020-01-23,54
2020-01-24,40
2020-01-25,38
2020-01-26,41
2020-01-27,41
2020-01-28,55
2020-01-29,50
2020-01-30,54
2020-01-31,48
2020-02-01,70
2020-02-02,50
2020-02-03,44
2020-02-04,0
2020-02-05,57
2020-02-06,33
2020-02-07,30
2020-02-08,0
2020-02-09,42
2020-02-10,42
2020-02-11,50
2020-02-12,65
2020-02-13,66
2020-02-14,51
2020-02-15,54
2020-02-16,57
2020-02-17,31
2020-02-18,53
2020-02-19,58
2020-02-20,0
2020-02-21,49
2020-02-22,58
2020-02-23,79
2020-02-24,43
2020-02-25,0
2020-02-26,38
2020-02-27,42
2020-02-28,0
2020-02-29,52
2020-03-01,61
2020-03-02,42
2020-03-03,55
2020-03-04,45
2020-03-05,46
2020-03-06,0
2020-03-07,47
2020-03-08,57
2020-03-09,36
2020-03-10,31
2020-03-11,35
2020-03-12,41
2020-03-13,37
2020-03-14,41
2020-03-15,69
2020-03-16,0
2020-03-17,53
2020-03-18,56
2020-03-19,58
2020-03-20,42
2020-03-21,0
2020-03-22,55
2020-03-23,63
2020-03-24,51
2020-03-25,52
2020-03-26,58
2020-03-27,44
2020-03-28,66
2020-03-29,63
2020-03-30,40
2020-03-31,46
2020-04-01,51
2020-04-02,100
2020-04-03,58
2020-04-04,36
2020-04-05,89
2020-04-06,54
2020-04-07,45
