Categoría: Religión y creencias

Día,Dios: (Bélgica)
2019-12-30,72
2019-12-31,58
2020-01-01,83
2020-01-02,45
2020-01-03,40
2020-01-04,52
2020-01-05,68
2020-01-06,41
2020-01-07,41
2020-01-08,47
2020-01-09,81
2020-01-10,48
2020-01-11,51
2020-01-12,54
2020-01-13,58
2020-01-14,37
2020-01-15,45
2020-01-16,49
2020-01-17,40
2020-01-18,61
2020-01-19,59
2020-01-20,45
2020-01-21,72
2020-01-22,50
2020-01-23,51
2020-01-24,27
2020-01-25,47
2020-01-26,52
2020-01-27,42
2020-01-28,66
2020-01-29,64
2020-01-30,0
2020-01-31,60
2020-02-01,46
2020-02-02,61
2020-02-03,45
2020-02-04,42
2020-02-05,43
2020-02-06,72
2020-02-07,42
2020-02-08,65
2020-02-09,52
2020-02-10,44
2020-02-11,43
2020-02-12,65
2020-02-13,54
2020-02-14,55
2020-02-15,56
2020-02-16,69
2020-02-17,32
2020-02-18,41
2020-02-19,44
2020-02-20,44
2020-02-21,59
2020-02-22,37
2020-02-23,59
2020-02-24,48
2020-02-25,45
2020-02-26,55
2020-02-27,31
2020-02-28,46
2020-02-29,64
2020-03-01,39
2020-03-02,36
2020-03-03,45
2020-03-04,53
2020-03-05,58
2020-03-06,63
2020-03-07,64
2020-03-08,62
2020-03-09,29
2020-03-10,51
2020-03-11,48
2020-03-12,56
2020-03-13,32
2020-03-14,63
2020-03-15,90
2020-03-16,58
2020-03-17,70
2020-03-18,38
2020-03-19,63
2020-03-20,61
2020-03-21,73
2020-03-22,74
2020-03-23,66
2020-03-24,50
2020-03-25,65
2020-03-26,68
2020-03-27,79
2020-03-28,44
2020-03-29,88
2020-03-30,83
2020-03-31,62
2020-04-01,81
2020-04-02,61
2020-04-03,71
2020-04-04,93
2020-04-05,100
2020-04-06,50
2020-04-07,53
