Categoría: Religión y creencias

Día,Dios: (Francia)
2019-12-30,49
2019-12-31,62
2020-01-01,71
2020-01-02,53
2020-01-03,59
2020-01-04,60
2020-01-05,67
2020-01-06,47
2020-01-07,59
2020-01-08,50
2020-01-09,58
2020-01-10,60
2020-01-11,65
2020-01-12,64
2020-01-13,54
2020-01-14,62
2020-01-15,52
2020-01-16,55
2020-01-17,68
2020-01-18,66
2020-01-19,65
2020-01-20,53
2020-01-21,55
2020-01-22,61
2020-01-23,59
2020-01-24,71
2020-01-25,73
2020-01-26,73
2020-01-27,57
2020-01-28,57
2020-01-29,60
2020-01-30,53
2020-01-31,61
2020-02-01,63
2020-02-02,72
2020-02-03,59
2020-02-04,61
2020-02-05,70
2020-02-06,54
2020-02-07,65
2020-02-08,65
2020-02-09,66
2020-02-10,92
2020-02-11,63
2020-02-12,73
2020-02-13,65
2020-02-14,60
2020-02-15,55
2020-02-16,72
2020-02-17,57
2020-02-18,62
2020-02-19,59
2020-02-20,60
2020-02-21,62
2020-02-22,62
2020-02-23,67
2020-02-24,54
2020-02-25,55
2020-02-26,55
2020-02-27,54
2020-02-28,59
2020-02-29,61
2020-03-01,67
2020-03-02,73
2020-03-03,50
2020-03-04,56
2020-03-05,61
2020-03-06,69
2020-03-07,66
2020-03-08,65
2020-03-09,57
2020-03-10,66
2020-03-11,62
2020-03-12,63
2020-03-13,59
2020-03-14,64
2020-03-15,61
2020-03-16,62
2020-03-17,60
2020-03-18,71
2020-03-19,82
2020-03-20,86
2020-03-21,90
2020-03-22,98
2020-03-23,75
2020-03-24,82
2020-03-25,86
2020-03-26,87
2020-03-27,90
2020-03-28,93
2020-03-29,96
2020-03-30,92
2020-03-31,82
2020-04-01,82
2020-04-02,89
2020-04-03,81
2020-04-04,96
2020-04-05,100
2020-04-06,88
2020-04-07,87
