Categoría: Religión y creencias

Día,Dios: (Austria)
2019-12-30,0
2019-12-31,53
2020-01-01,51
2020-01-02,39
2020-01-03,46
2020-01-04,59
2020-01-05,64
2020-01-06,61
2020-01-07,37
2020-01-08,47
2020-01-09,0
2020-01-10,49
2020-01-11,46
2020-01-12,39
2020-01-13,43
2020-01-14,47
2020-01-15,46
2020-01-16,52
2020-01-17,60
2020-01-18,0
2020-01-19,51
2020-01-20,27
2020-01-21,30
2020-01-22,33
2020-01-23,57
2020-01-24,45
2020-01-25,67
2020-01-26,49
2020-01-27,35
2020-01-28,44
2020-01-29,36
2020-01-30,45
2020-01-31,36
2020-02-01,60
2020-02-02,58
2020-02-03,30
2020-02-04,47
2020-02-05,39
2020-02-06,40
2020-02-07,49
2020-02-08,56
2020-02-09,0
2020-02-10,50
2020-02-11,0
2020-02-12,57
2020-02-13,56
2020-02-14,38
2020-02-15,48
2020-02-16,0
2020-02-17,30
2020-02-18,49
2020-02-19,46
2020-02-20,47
2020-02-21,61
2020-02-22,67
2020-02-23,47
2020-02-24,52
2020-02-25,32
2020-02-26,38
2020-02-27,39
2020-02-28,37
2020-02-29,55
2020-03-01,79
2020-03-02,48
2020-03-03,34
2020-03-04,47
2020-03-05,43
2020-03-06,57
2020-03-07,48
2020-03-08,66
2020-03-09,0
2020-03-10,30
2020-03-11,65
2020-03-12,26
2020-03-13,44
2020-03-14,47
2020-03-15,43
2020-03-16,60
2020-03-17,56
2020-03-18,58
2020-03-19,58
2020-03-20,59
2020-03-21,84
2020-03-22,60
2020-03-23,60
2020-03-24,52
2020-03-25,60
2020-03-26,73
2020-03-27,78
2020-03-28,63
2020-03-29,53
2020-03-30,55
2020-03-31,72
2020-04-01,42
2020-04-02,49
2020-04-03,45
2020-04-04,59
2020-04-05,100
2020-04-06,54
2020-04-07,50
