Categoría: Religión y creencias

Día,Dios: (España)
2019-12-30,48
2019-12-31,55
2020-01-01,59
2020-01-02,44
2020-01-03,47
2020-01-04,58
2020-01-05,54
2020-01-06,44
2020-01-07,46
2020-01-08,48
2020-01-09,52
2020-01-10,50
2020-01-11,55
2020-01-12,61
2020-01-13,51
2020-01-14,54
2020-01-15,52
2020-01-16,63
2020-01-17,65
2020-01-18,59
2020-01-19,62
2020-01-20,57
2020-01-21,62
2020-01-22,62
2020-01-23,60
2020-01-24,58
2020-01-25,54
2020-01-26,62
2020-01-27,56
2020-01-28,61
2020-01-29,55
2020-01-30,47
2020-01-31,52
2020-02-01,51
2020-02-02,65
2020-02-03,57
2020-02-04,57
2020-02-05,58
2020-02-06,61
2020-02-07,55
2020-02-08,59
2020-02-09,62
2020-02-10,68
2020-02-11,61
2020-02-12,58
2020-02-13,60
2020-02-14,59
2020-02-15,66
2020-02-16,68
2020-02-17,63
2020-02-18,56
2020-02-19,65
2020-02-20,58
2020-02-21,63
2020-02-22,57
2020-02-23,62
2020-02-24,52
2020-02-25,56
2020-02-26,59
2020-02-27,71
2020-02-28,64
2020-02-29,62
2020-03-01,65
2020-03-02,56
2020-03-03,60
2020-03-04,68
2020-03-05,65
2020-03-06,68
2020-03-07,60
2020-03-08,60
2020-03-09,55
2020-03-10,55
2020-03-11,54
2020-03-12,58
2020-03-13,61
2020-03-14,64
2020-03-15,59
2020-03-16,72
2020-03-17,66
2020-03-18,73
2020-03-19,79
2020-03-20,81
2020-03-21,81
2020-03-22,88
2020-03-23,82
2020-03-24,79
2020-03-25,81
2020-03-26,86
2020-03-27,85
2020-03-28,94
2020-03-29,100
2020-03-30,80
2020-03-31,79
2020-04-01,84
2020-04-02,82
2020-04-03,76
2020-04-04,77
2020-04-05,90
2020-04-06,73
2020-04-07,76
