Categoría: Religión y creencias

Día,Dios: (Alemania)
2019-12-30,66
2019-12-31,92
2020-01-01,73
2020-01-02,64
2020-01-03,66
2020-01-04,77
2020-01-05,65
2020-01-06,65
2020-01-07,68
2020-01-08,68
2020-01-09,72
2020-01-10,82
2020-01-11,87
2020-01-12,74
2020-01-13,64
2020-01-14,78
2020-01-15,79
2020-01-16,71
2020-01-17,71
2020-01-18,56
2020-01-19,86
2020-01-20,72
2020-01-21,71
2020-01-22,70
2020-01-23,66
2020-01-24,83
2020-01-25,76
2020-01-26,94
2020-01-27,70
2020-01-28,70
2020-01-29,65
2020-01-30,70
2020-01-31,67
2020-02-01,72
2020-02-02,75
2020-02-03,68
2020-02-04,81
2020-02-05,77
2020-02-06,67
2020-02-07,75
2020-02-08,80
2020-02-09,77
2020-02-10,68
2020-02-11,72
2020-02-12,83
2020-02-13,81
2020-02-14,68
2020-02-15,73
2020-02-16,84
2020-02-17,72
2020-02-18,73
2020-02-19,76
2020-02-20,78
2020-02-21,75
2020-02-22,79
2020-02-23,73
2020-02-24,67
2020-02-25,79
2020-02-26,72
2020-02-27,79
2020-02-28,78
2020-02-29,82
2020-03-01,88
2020-03-02,77
2020-03-03,72
2020-03-04,72
2020-03-05,79
2020-03-06,66
2020-03-07,82
2020-03-08,88
2020-03-09,67
2020-03-10,69
2020-03-11,74
2020-03-12,72
2020-03-13,74
2020-03-14,75
2020-03-15,79
2020-03-16,59
2020-03-17,65
2020-03-18,72
2020-03-19,81
2020-03-20,87
2020-03-21,100
2020-03-22,95
2020-03-23,77
2020-03-24,80
2020-03-25,81
2020-03-26,99
2020-03-27,90
2020-03-28,91
2020-03-29,97
2020-03-30,92
2020-03-31,84
2020-04-01,88
2020-04-02,83
2020-04-03,87
2020-04-04,81
2020-04-05,96
2020-04-06,71
2020-04-07,83
