Categoría: Religión y creencias

Día,Dios: (Italia)
2019-12-30,62
2019-12-31,76
2020-01-01,73
2020-01-02,54
2020-01-03,64
2020-01-04,61
2020-01-05,56
2020-01-06,59
2020-01-07,53
2020-01-08,47
2020-01-09,58
2020-01-10,54
2020-01-11,52
2020-01-12,63
2020-01-13,49
2020-01-14,59
2020-01-15,63
2020-01-16,55
2020-01-17,56
2020-01-18,55
2020-01-19,55
2020-01-20,59
2020-01-21,60
2020-01-22,58
2020-01-23,54
2020-01-24,52
2020-01-25,68
2020-01-26,70
2020-01-27,64
2020-01-28,57
2020-01-29,57
2020-01-30,57
2020-01-31,57
2020-02-01,60
2020-02-02,57
2020-02-03,60
2020-02-04,53
2020-02-05,59
2020-02-06,55
2020-02-07,47
2020-02-08,53
2020-02-09,54
2020-02-10,53
2020-02-11,58
2020-02-12,64
2020-02-13,54
2020-02-14,59
2020-02-15,60
2020-02-16,63
2020-02-17,64
2020-02-18,52
2020-02-19,57
2020-02-20,59
2020-02-21,55
2020-02-22,50
2020-02-23,56
2020-02-24,52
2020-02-25,45
2020-02-26,45
2020-02-27,55
2020-02-28,49
2020-02-29,55
2020-03-01,55
2020-03-02,50
2020-03-03,54
2020-03-04,48
2020-03-05,52
2020-03-06,44
2020-03-07,53
2020-03-08,51
2020-03-09,57
2020-03-10,62
2020-03-11,51
2020-03-12,60
2020-03-13,70
2020-03-14,72
2020-03-15,79
2020-03-16,62
2020-03-17,70
2020-03-18,70
2020-03-19,70
2020-03-20,78
2020-03-21,75
2020-03-22,89
2020-03-23,76
2020-03-24,73
2020-03-25,62
2020-03-26,80
2020-03-27,100
2020-03-28,94
2020-03-29,99
2020-03-30,77
2020-03-31,72
2020-04-01,72
2020-04-02,73
2020-04-03,83
2020-04-04,69
2020-04-05,73
2020-04-06,72
2020-04-07,67
