Categoría: Religión y creencias

Día,Espiritualidad: (España)
2019-12-30,56
2019-12-31,59
2020-01-01,73
2020-01-02,46
2020-01-03,52
2020-01-04,49
2020-01-05,58
2020-01-06,48
2020-01-07,45
2020-01-08,52
2020-01-09,37
2020-01-10,39
2020-01-11,55
2020-01-12,51
2020-01-13,56
2020-01-14,65
2020-01-15,69
2020-01-16,56
2020-01-17,66
2020-01-18,70
2020-01-19,46
2020-01-20,33
2020-01-21,67
2020-01-22,51
2020-01-23,51
2020-01-24,69
2020-01-25,65
2020-01-26,65
2020-01-27,58
2020-01-28,69
2020-01-29,59
2020-01-30,50
2020-01-31,62
2020-02-01,58
2020-02-02,69
2020-02-03,53
2020-02-04,63
2020-02-05,58
2020-02-06,58
2020-02-07,58
2020-02-08,44
2020-02-09,51
2020-02-10,56
2020-02-11,76
2020-02-12,70
2020-02-13,53
2020-02-14,46
2020-02-15,53
2020-02-16,52
2020-02-17,58
2020-02-18,62
2020-02-19,77
2020-02-20,56
2020-02-21,55
2020-02-22,63
2020-02-23,54
2020-02-24,51
2020-02-25,75
2020-02-26,43
2020-02-27,62
2020-02-28,57
2020-02-29,59
2020-03-01,54
2020-03-02,62
2020-03-03,84
2020-03-04,74
2020-03-05,60
2020-03-06,56
2020-03-07,56
2020-03-08,62
2020-03-09,45
2020-03-10,83
2020-03-11,55
2020-03-12,45
2020-03-13,46
2020-03-14,43
2020-03-15,55
2020-03-16,38
2020-03-17,57
2020-03-18,57
2020-03-19,58
2020-03-20,50
2020-03-21,58
2020-03-22,46
2020-03-23,49
2020-03-24,62
2020-03-25,60
2020-03-26,48
2020-03-27,53
2020-03-28,66
2020-03-29,100
2020-03-30,97
2020-03-31,70
2020-04-01,67
2020-04-02,56
2020-04-03,39
2020-04-04,71
2020-04-05,84
2020-04-06,57
2020-04-07,53
