Categoría: Religión y creencias

Día,Espiritualidad: (Bélgica)
2019-12-30,49
2019-12-31,0
2020-01-01,80
2020-01-02,0
2020-01-03,50
2020-01-04,0
2020-01-05,43
2020-01-06,47
2020-01-07,65
2020-01-08,54
2020-01-09,100
2020-01-10,48
2020-01-11,54
2020-01-12,76
2020-01-13,0
2020-01-14,33
2020-01-15,90
2020-01-16,0
2020-01-17,69
2020-01-18,79
2020-01-19,70
2020-01-20,41
2020-01-21,48
2020-01-22,52
2020-01-23,49
2020-01-24,47
2020-01-25,60
2020-01-26,81
2020-01-27,61
2020-01-28,43
2020-01-29,56
2020-01-30,0
2020-01-31,71
2020-02-01,83
2020-02-02,41
2020-02-03,48
2020-02-04,65
2020-02-05,0
2020-02-06,76
2020-02-07,53
2020-02-08,0
2020-02-09,78
2020-02-10,34
2020-02-11,39
2020-02-12,41
2020-02-13,41
2020-02-14,60
2020-02-15,56
2020-02-16,58
2020-02-17,0
2020-02-18,62
2020-02-19,39
2020-02-20,59
2020-02-21,0
2020-02-22,55
2020-02-23,79
2020-02-24,56
2020-02-25,47
2020-02-26,44
2020-02-27,0
2020-02-28,54
2020-02-29,59
2020-03-01,54
2020-03-02,53
2020-03-03,0
2020-03-04,44
2020-03-05,41
2020-03-06,56
2020-03-07,61
2020-03-08,51
2020-03-09,35
2020-03-10,35
2020-03-11,0
2020-03-12,46
2020-03-13,44
2020-03-14,0
2020-03-15,42
2020-03-16,0
2020-03-17,36
2020-03-18,68
2020-03-19,50
2020-03-20,40
2020-03-21,68
2020-03-22,64
2020-03-23,69
2020-03-24,45
2020-03-25,42
2020-03-26,55
2020-03-27,65
2020-03-28,46
2020-03-29,63
2020-03-30,62
2020-03-31,47
2020-04-01,55
2020-04-02,62
2020-04-03,69
2020-04-04,72
2020-04-05,83
2020-04-06,56
2020-04-07,51
