Categoría: Religión y creencias

Día,Espiritualidad: (Francia)
2018-12-30,55
2018-12-31,55
2019-01-01,82
2019-01-02,65
2019-01-03,61
2019-01-04,59
2019-01-05,83
2019-01-06,73
2019-01-07,49
2019-01-08,74
2019-01-09,53
2019-01-10,43
2019-01-11,54
2019-01-12,55
2019-01-13,64
2019-01-14,49
2019-01-15,59
2019-01-16,65
2019-01-17,51
2019-01-18,53
2019-01-19,61
2019-01-20,100
2019-01-21,70
2019-01-22,61
2019-01-23,45
2019-01-24,64
2019-01-25,59
2019-01-26,51
2019-01-27,75
2019-01-28,52
2019-01-29,53
2019-01-30,47
2019-01-31,53
2019-02-01,67
2019-02-02,50
2019-02-03,61
2019-02-04,63
2019-02-05,53
2019-02-06,51
2019-02-07,63
2019-02-08,52
2019-02-09,63
2019-02-10,66
2019-02-11,68
2019-02-12,57
2019-02-13,57
2019-02-14,59
2019-02-15,39
2019-02-16,55
2019-02-17,64
2019-02-18,63
2019-02-19,62
2019-02-20,65
2019-02-21,51
2019-02-22,59
2019-02-23,59
2019-02-24,62
2019-02-25,60
2019-02-26,56
2019-02-27,57
2019-02-28,56
2019-03-01,48
2019-03-02,61
2019-03-03,73
2019-03-04,63
2019-03-05,54
2019-03-06,60
2019-03-07,70
2019-03-08,47
2019-03-09,46
2019-03-10,64
2019-03-11,62
2019-03-12,60
2019-03-13,66
2019-03-14,50
2019-03-15,57
2019-03-16,61
2019-03-17,74
2019-03-18,75
2019-03-19,79
2019-03-20,72
2019-03-21,49
2019-03-22,67
2019-03-23,63
2019-03-24,71
2019-03-25,52
2019-03-26,72
2019-03-27,51
2019-03-28,68
2019-03-29,77
2019-03-30,60
2019-03-31,66
2019-04-01,57
2019-04-02,53
2019-04-03,53
2019-04-04,56
2019-04-05,51
2019-04-06,61
2019-04-07,68
2019-04-08,59
2019-04-09,62
2019-04-10,49
