Categoría: Religión y creencias

Semana,Espiritualidad: (Irlanda)
2018-12-30,74
2019-01-06,53
2019-01-13,72
2019-01-20,66
2019-01-27,49
2019-02-03,60
2019-02-10,51
2019-02-17,69
2019-02-24,54
2019-03-03,65
2019-03-10,67
2019-03-17,56
2019-03-24,53
2019-03-31,59
2019-04-07,52
2019-04-14,67
2019-04-21,52
2019-04-28,58
2019-05-05,55
2019-05-12,77
2019-05-19,55
2019-05-26,81
2019-06-02,77
2019-06-09,61
2019-06-16,70
2019-06-23,63
2019-06-30,56
2019-07-07,54
2019-07-14,59
2019-07-21,78
2019-07-28,80
2019-08-04,58
2019-08-11,60
2019-08-18,65
2019-08-25,45
2019-09-01,72
2019-09-08,57
2019-09-15,49
2019-09-22,65
2019-09-29,64
2019-10-06,78
2019-10-13,53
2019-10-20,53
2019-10-27,71
2019-11-03,78
2019-11-10,94
2019-11-17,66
2019-11-24,73
2019-12-01,45
2019-12-08,55
2019-12-15,56
2019-12-22,55
2019-12-29,67
2020-01-05,100
2020-01-12,58
2020-01-19,62
2020-01-26,65
2020-02-02,51
2020-02-09,61
2020-02-16,70
2020-02-23,52
2020-03-01,77
2020-03-08,59
2020-03-15,61
2020-03-22,62
2020-03-29,75
2020-04-05,76
