Categoría: Religión y creencias

Día,Espiritualidad: (Reino Unido)
2019-12-30,81
2019-12-31,100
2020-01-01,84
2020-01-02,70
2020-01-03,72
2020-01-04,75
2020-01-05,85
2020-01-06,82
2020-01-07,89
2020-01-08,78
2020-01-09,99
2020-01-10,88
2020-01-11,95
2020-01-12,82
2020-01-13,71
2020-01-14,89
2020-01-15,92
2020-01-16,77
2020-01-17,68
2020-01-18,71
2020-01-19,77
2020-01-20,82
2020-01-21,72
2020-01-22,83
2020-01-23,80
2020-01-24,70
2020-01-25,72
2020-01-26,89
2020-01-27,66
2020-01-28,61
2020-01-29,83
2020-01-30,69
2020-01-31,75
2020-02-01,90
2020-02-02,98
2020-02-03,80
2020-02-04,83
2020-02-05,62
2020-02-06,81
2020-02-07,76
2020-02-08,70
2020-02-09,81
2020-02-10,74
2020-02-11,81
2020-02-12,83
2020-02-13,74
2020-02-14,63
2020-02-15,57
2020-02-16,79
2020-02-17,80
2020-02-18,78
2020-02-19,94
2020-02-20,76
2020-02-21,74
2020-02-22,78
2020-02-23,99
2020-02-24,73
2020-02-25,84
2020-02-26,84
2020-02-27,72
2020-02-28,70
2020-02-29,77
2020-03-01,77
2020-03-02,87
2020-03-03,84
2020-03-04,75
2020-03-05,58
2020-03-06,70
2020-03-07,73
2020-03-08,73
2020-03-09,73
2020-03-10,73
2020-03-11,70
2020-03-12,43
2020-03-13,66
2020-03-14,71
2020-03-15,75
2020-03-16,64
2020-03-17,65
2020-03-18,63
2020-03-19,52
2020-03-20,65
2020-03-21,62
2020-03-22,73
2020-03-23,51
2020-03-24,56
2020-03-25,53
2020-03-26,64
2020-03-27,75
2020-03-28,58
2020-03-29,89
2020-03-30,67
2020-03-31,73
2020-04-01,66
2020-04-02,67
2020-04-03,66
2020-04-04,86
2020-04-05,81
2020-04-06,82
2020-04-07,87
